param,trades,sessions,win_rate,pf,net_pnl,exp_usd,exp_R,mean_session,ci_lo,ci_hi,max_dd_pct,sharpe,tp_rate
ORB_13h_r60_t2,617,617,47.163695299837926,1.1781383787722297,7877.279999999881,12.767066450567068,0.08870664162811542,12.767066450567068,-4.594959886548214,30.188151134521778,-16.24258371870654,0.9143923359525968,13.776337115072934
ORB_13h_r60_t3,617,617,46.029173419773095,1.1638389803832736,7349.429999999944,11.911555915721141,0.07209500260104813,11.911555915721141,-6.170416734197709,30.475630470016327,-16.196147978815688,0.8098978835159303,5.186385737439222
ORB_07h_r30_t2,635,635,36.53543307086614,1.1373455679964015,4448.465000000246,7.005456692913773,0.09680373496728242,7.005456692913773,-5.089494291338424,20.148965354331377,-19.337813302754338,0.6853022812693368,35.90551181102362
ORB_13h_r60_t1,617,617,52.6742301458671,1.1330981101985815,5365.649999999963,8.696353322528303,0.06071297254256898,8.696353322528303,-5.787773500810368,23.498622366288508,-20.2963574799986,0.751005627663549,37.60129659643436
ORB_07h_r15_t2,632,632,35.28481012658228,1.1230977531728608,2993.4450000001902,4.736463607595238,0.05497160410778792,4.736463607595238,-4.612489912974378,14.971148536392596,-21.319323125924722,0.5955384367653986,34.96835443037975
ORB_07h_r30_t3,635,635,27.559055118110237,1.119803422528801,4297.450000000136,6.767637795275805,0.04028221756332407,6.767637795275805,-7.793845669291056,22.66173464566936,-22.938803966419744,0.5432078275295422,23.1496062992126
ORB_13h_r30_t1,638,638,54.075235109717866,1.0701855194723973,2356.170000000072,3.6930564263324013,0.07483506236735858,3.6930564263324013,-7.720627547021877,14.868290164576797,-23.555801492430234,0.4034908450086547,49.686520376175544
ORB_07h_r30_t1,635,635,54.01574803149606,1.0662128705379617,1640.7450000001209,2.5838503937009776,0.08358631199494121,2.5838503937009776,-5.729797440944797,11.043122440944945,-24.70781773943502,0.3820574593926834,54.01574803149606
ORB_07h_r60_t3,635,635,29.763779527559052,1.0618490075703093,2841.8750000000773,4.4753937007875235,0.0028004819074630054,4.4753937007875235,-12.817435236220557,22.468328149606865,-30.622130356125133,0.3101643369127112,19.055118110236222
ORB_07h_r15_t3,632,632,25.4746835443038,1.0498292087785661,1392.620000000189,2.2035126582281475,-0.0028808049747070736,2.2035126582281475,-9.780847112341558,15.935161985760132,-28.397635465626216,0.21207937714149258,24.367088607594937
ORB_13h_r30_t3,638,638,36.677115987460816,1.0428566863108653,1870.7249999999867,2.9321708463949636,0.08429395524862823,2.9321708463949636,-11.836827586207201,18.318174373040893,-35.93034661499415,0.23772787090116307,15.830721003134796
ORB_07h_r15_t1,632,632,50.0,1.0233177114445886,439.5300000001498,0.6954588607597307,-0.0001498519744827516,0.6954588607597307,-5.707124011075795,7.278887658228059,-19.304823326850297,0.13291160765719667,50.0
ORB_07h_r60_t2,635,635,34.330708661417326,1.0034263882339143,150.11000000003446,0.23639370078745583,-0.012620020199669974,0.23639370078745583,-14.183794291338645,15.162488188976365,-38.51525006198743,0.01979768440188922,29.763779527559052
ORB_13h_r30_t2,638,638,39.6551724137931,0.9821287673141804,-759.2149999999706,-1.1899921630093584,0.05830324220201951,-1.1899921630093584,-14.511558189655394,12.063083072100511,-41.079900400754234,-0.10815299716896255,26.959247648902824
ORB_07h_r60_t1,635,635,50.86614173228347,0.9689742124593489,-1079.425000000048,-1.699881889763855,0.019963090677595448,-1.699881889763855,-12.095602952756094,8.687692913385904,-39.07157197089226,-0.2004150660677418,50.23622047244094
ORB_13h_r15_t3,639,639,29.26447574334898,0.9441160673408312,-2114.750000000048,-3.3094679186229237,0.009931515654809694,-3.3094679186229237,-15.391159820031495,9.260551447574326,-45.351823317925856,-0.32994541374293934,19.718309859154928
ORB_13h_r15_t2,639,639,33.80281690140845,0.9358403602606394,-2286.1350000000944,-3.5776760563381758,-0.020411113210299828,-3.5776760563381758,-14.679113067292871,7.594802621283039,-47.360259085411705,-0.394998329149433,30.046948356807512
ORB_13h_r15_t1,639,639,46.79186228482003,0.9036219318757649,-2803.5049999999796,-4.387331768388075,-0.06692186813967776,-4.387331768388075,-13.40242664319231,4.986349569640115,-30.602556615663936,-0.5894077490249974,46.009389671361504
