param,trades,sessions,win_rate,pf,net_pnl,exp_usd,exp_R,mean_session,ci_lo,ci_hi,max_dd_pct,sharpe,tp_rate
ORB_07h_r30_t2,383,383,38.1201044386423,1.2489658725779789,3068.355000000048,8.011370757180282,0.1376801725349748,8.011370757180282,-0.8972699086160514,16.97988544386448,-12.43881268957095,1.4194237341502105,37.0757180156658
ORB_07h_r30_t1,383,383,55.09138381201044,1.1834341744313543,1692.770000000039,4.419765013054932,0.10570330863846311,4.419765013054932,-1.8754595300261059,10.565438315926846,-10.233181246407325,1.1270812154973584,55.09138381201044
ORB_13h_r60_t2,376,376,48.67021276595745,1.1957550825346763,3334.2649999999408,8.867726063829629,0.10803245746448653,8.867726063829629,-4.146859042553129,21.98512167553157,-12.235638913363093,1.08603388912142,12.76595744680851
ORB_07h_r15_t2,380,380,35.26315789473684,1.099896114446989,941.8850000000239,2.4786447368421682,0.05201781060274929,2.4786447368421682,-4.188750657894834,9.181417434210683,-8.323841974151021,0.5943397869502237,34.73684210526316
ORB_13h_r30_t2,384,384,41.66666666666667,1.1440712516369231,2282.8449999999607,5.944908854166564,0.1000891276371122,5.944908854166564,-4.676085286458412,16.79609993489594,-13.657541651640988,0.8691332370243443,27.083333333333332
ORB_13h_r30_t1,384,384,54.6875,1.1059215946722556,1392.3150000000255,3.6258203125000663,0.08690103334930842,3.6258203125000663,-4.688733723958212,11.830183919270702,-14.69472308001036,0.6993276809526568,50.0
ORB_13h_r60_t3,376,376,47.87234042553192,1.1740302775294582,2988.2999999999624,7.947606382978623,0.08642302979467137,7.947606382978623,-5.370661901595913,21.562283577127673,-12.743064390231323,0.9499848459482274,3.9893617021276597
ORB_13h_r60_t1,376,376,52.3936170212766,1.132627021672136,2115.2749999999883,5.625731382978692,0.06341905599194653,5.625731382978692,-5.514031914893952,16.704167885638242,-11.329812180311572,0.8062578641118626,35.37234042553192
ORB_07h_r60_t1,382,382,52.35602094240838,1.0702872736406992,923.3849999999641,2.417238219895194,0.05286674423026158,2.417238219895194,-5.790338350785549,10.503255890052252,-6.996082074539489,0.47038710793476074,51.832460732984295
ORB_07h_r15_t1,380,380,48.94736842105264,0.951104753968756,-372.6049999999427,-0.9805394736840598,-0.021261736624144146,-0.9805394736840598,-5.861383223683997,4.000556249999966,-12.52318616534979,-0.31720922291002107,48.94736842105264
ORB_13h_r30_t3,384,384,37.76041666666667,1.1308063591779702,2176.314999999933,5.667486979166493,0.09746789499399962,5.667486979166493,-6.191805989583545,17.90941178385407,-14.644239861987456,0.7401748088106778,15.104166666666666
ORB_07h_r30_t3,383,383,27.93733681462141,1.0879890412044129,1243.8649999998997,3.247689295038903,0.03938476236593154,3.247689295038903,-6.69139360313314,13.909921671018127,-17.456768080819117,0.49974951894911895,22.97650130548303
ORB_07h_r15_t3,380,380,26.31578947368421,1.0058176864470099,63.28999999994437,0.16655263157880099,0.03196378637311324,0.16655263157880099,-7.395592763158215,8.320853289473252,-15.320913659670554,0.033991138130787135,25.263157894736842
ORB_07h_r60_t2,382,382,35.340314136125656,1.036615039642601,637.6499999999198,1.6692408376961252,0.023901082211151194,1.6692408376961252,-9.366654777487371,12.978385143978837,-17.83595671834492,0.23418018926337367,31.413612565445025
ORB_07h_r60_t3,382,382,30.104712041884817,1.0468827829605076,860.269999999887,2.2520157068059867,0.02142529093780953,2.2520157068059867,-10.239411321989571,15.397412630889814,-17.978207191382083,0.2766932107821458,19.3717277486911
ORB_13h_r15_t2,385,385,32.20779220779221,0.8670765410832834,-1950.7900000000895,-5.066987012987245,-0.06327034542713438,-5.066987012987245,-13.546949350649657,3.7336967532466874,-21.221181739528983,-0.9376817039609644,28.57142857142857
ORB_13h_r15_t1,385,385,45.19480519480519,0.776152752469249,-2755.994999999997,-7.158428571428564,-0.09975482030188712,-7.158428571428564,-13.62340259740257,-0.7439948051948959,-27.624617404349262,-1.7423157313981572,44.41558441558441
ORB_13h_r15_t3,385,385,27.79220779220779,0.8674591494698499,-2059.710000000135,-5.349896103896455,-0.043271617424465045,-5.349896103896455,-14.557668831168973,4.085578896103697,-27.574037791473003,-0.9142975048841937,18.181818181818183
