param,session,side,entry_time,exit_time,bars_held,entry_price,exit_price,stop_price,target_price,range_size,range_pct,exit_reason,price_pnl,risk_price,pnl,weekday,date,hour,rng,tgt
h13_r30_t3,1704240000000000000,-1,1704288685000000000,1704290875000000000,438,2022.729,2038.1444999999999,2038.1444999999999,1976.4825000000005,15.415499999999838,0.7606252171029698,sl,-15.415499999999838,15.415499999999838,-30.970999999999677,Wednesday,2024-01-03,13,30,3.0
h14_r15_t2,1704240000000000000,1,1704291435000000000,1704294630000000000,639,2042.1455,2031.6705,2031.6705,2063.0955000000004,10.475000000000136,0.5134345857379458,sl,-10.475000000000136,10.475000000000136,-21.090000000000273,Wednesday,2024-01-03,14,15,2.0
h00_r30_t1,1704326400000000000,-1,1704329240000000000,1704345720000000000,3291,2030.4225000000001,2026.6735000000003,2034.1715,2026.6735000000003,3.7489999999997963,0.1846084604250129,tp,3.7489999999997963,3.7489999999997963,7.357999999999593,Thursday,2024-01-04,0,30,1.0
h01_r60_t3,1704326400000000000,-1,1704337365000000000,1704356205000000000,3764,2028.0815,2019.0605000000005,2031.0884999999998,2019.0605000000005,3.0069999999998345,0.14809061845685018,tp,9.020999999999503,3.0069999999998345,17.901999999999006,Thursday,2024-01-04,1,60,3.0
h02_r15_t3,1704326400000000000,-1,1704334630000000000,1704354150000000000,3898,2028.6815000000001,2022.036500000001,2030.8964999999998,2022.036500000001,2.2149999999996908,0.10917996481101101,tp,6.644999999999072,2.2149999999996908,13.149999999998144,Thursday,2024-01-04,2,15,3.0
h04_r30_t3,1704326400000000000,1,1704342995000000000,1704344265000000000,253,2029.1715,2027.8274999999999,2027.8274999999999,2033.2035,1.344000000000051,0.06625133063382416,sl,-1.344000000000051,1.344000000000051,-2.828000000000102,Thursday,2024-01-04,4,30,3.0
h05_r60_t2,1704326400000000000,-1,1704348270000000000,1704349450000000000,236,2025.6425,2029.3695,2029.3695,2018.1884999999997,3.727000000000089,0.18388933089101903,sl,-3.727000000000089,3.727000000000089,-7.594000000000178,Thursday,2024-01-04,5,60,2.0
h06_r60_t3,1704326400000000000,-1,1704352665000000000,1704386235000000000,6712,2025.2365,2029.9895000000001,2029.9895000000001,2010.9774999999995,4.753000000000156,0.23427878682726025,sl,-4.753000000000156,4.753000000000156,-9.646000000000313,Thursday,2024-01-04,6,60,3.0
h13_r30_t3,1704326400000000000,1,1704375010000000000,1704376800000000000,358,2023.9295000000002,2017.8335000000002,2017.8335000000002,2042.2175000000002,6.096000000000004,0.3012145676970601,sl,-6.096000000000004,6.096000000000004,-12.332000000000008,Thursday,2024-01-04,13,30,3.0
h14_r15_t2,1704326400000000000,1,1704382275000000000,1704412795000000000,5224,2027.7154999999998,2028.681,2015.1754999999998,2052.7954999999997,12.539999999999964,0.6192062062830649,session_end,0.9655000000002474,12.539999999999964,1.7910000000004946,Thursday,2024-01-04,14,15,2.0
