param,session,side,entry_time,exit_time,bars_held,entry_price,exit_price,stop_price,target_price,range_size,range_pct,exit_reason,price_pnl,risk_price,pnl,weekday,date,hour,rng,tgt
h02_r15_t3,1704067200000000000,1,1704076320000000000,1704077920000000000,320,2069.0595000000003,2046.8455,2046.8455,2135.7015000000015,22.214000000000397,1.0776885148357012,sl,-22.214000000000397,22.214000000000397,-44.568000000000794,Monday,2024-01-01,2,15,3.0
h13_r30_t3,1704067200000000000,-1,1704115915000000000,1704153595000000000,6774,2056.4735,2079.874,2092.7065000000002,1947.7744999999995,36.233000000000175,1.754867319428433,session_end,-23.400499999999738,36.233000000000175,-46.94099999999948,Monday,2024-01-01,13,30,3.0
h14_r15_t2,1704067200000000000,-1,1704118790000000000,1704119585000000000,159,2047.3615,2064.3485,2064.3485,2013.3874999999998,16.98700000000008,0.8250167497293006,sl,-16.98700000000008,16.98700000000008,-34.11400000000016,Monday,2024-01-01,14,15,2.0
h00_r30_t1,1704153600000000000,-1,1704156500000000000,1704157205000000000,141,2079.7015,2078.4525000000003,2080.9505,2078.4525000000003,1.2489999999997963,0.060039172074708935,tp,1.2489999999997963,1.2489999999997963,2.3579999999995924,Tuesday,2024-01-02,0,30,1.0
h01_r60_t3,1704153600000000000,1,1704161590000000000,1704172060000000000,2081,2080.2765,2076.8605,2076.8605,2090.5245000000004,3.4160000000001673,0.16433648183303332,sl,-3.4160000000001673,3.4160000000001673,-6.972000000000334,Tuesday,2024-01-02,1,60,3.0
h02_r15_t3,1704153600000000000,-1,1704167325000000000,1704183390000000000,3206,2078.161,2070.0055,2080.8795,2070.0055,2.718499999999949,0.13065923676933797,tp,8.155499999999847,2.718499999999949,16.170999999999694,Tuesday,2024-01-02,2,15,3.0
h04_r30_t3,1704153600000000000,-1,1704170285000000000,1704175530000000000,1045,2078.6085000000003,2073.823500000001,2080.2035,2073.823500000001,1.5949999999998,0.07670422849491394,tp,4.7849999999994,1.5949999999998,9.429999999998799,Tuesday,2024-01-02,4,30,3.0
h05_r60_t2,1704153600000000000,-1,1704175200000000000,1704183390000000000,1637,2075.3975,2068.9975000000004,2078.5975,2068.9975000000004,3.199999999999818,0.15414614596097684,tp,6.399999999999636,3.199999999999818,12.659999999999272,Tuesday,2024-01-02,5,60,2.0
h06_r60_t3,1704153600000000000,-1,1704182825000000000,1704199380000000000,3311,2072.3875,2076.092,2076.092,2061.273999999999,3.70450000000028,0.1785208287954304,sl,-3.70450000000028,3.70450000000028,-7.54900000000056,Tuesday,2024-01-02,6,60,3.0
h13_r30_t3,1704153600000000000,-1,1704202205000000000,1704233770000000000,5463,2073.4135,2076.959,2076.959,2062.777000000001,3.54549999999972,0.1709278506575923,sl,-3.54549999999972,3.54549999999972,-7.230999999999439,Tuesday,2024-01-02,13,30,3.0
