param,session,side,entry_time,exit_time,bars_held,entry_price,exit_price,stop_price,target_price,range_size,range_pct,exit_reason,price_pnl,risk_price,pnl,weekday,date,hour,rng,tgt,year,ehour,scale,pnl_vt
h04_r30_t3,1704326400000000000,-1,1704344480000000000,1704348220000000000,747,2042.4679999999998,2044.7820000000002,2044.7820000000002,2035.525999999999,2.3140000000003056,0.1132487312129118,sl,-2.3140000000003056,2.3140000000003056,-4.768000000000611,Thursday,2024-01-04,4,30,3.0,2024,5,1.0,-4.768000000000611
h05_r60_t2,1704326400000000000,1,1704348055000000000,1704349570000000000,303,2044.374,2048.299,2042.4115000000002,2048.299,1.9624999999998636,0.09601863911375474,tp,3.9249999999999545,1.9624999999998636,7.709999999999909,Thursday,2024-01-04,5,60,2.0,2024,6,1.0,7.709999999999909
h06_r60_t3,1704326400000000000,1,1704353330000000000,1704370055000000000,3345,2048.69,2043.671,2043.671,2063.7470000000003,5.0190000000000055,0.24515173251059286,sl,-5.0190000000000055,5.0190000000000055,-10.178000000000011,Thursday,2024-01-04,6,60,3.0,2024,7,1.0,-10.178000000000011
h13_r30_t3,1704326400000000000,-1,1704375000000000000,1704382200000000000,1440,2042.518,2047.3055,2047.3055,2028.1555000000003,4.787499999999909,0.23410156951960445,sl,-4.787499999999909,4.787499999999909,-9.714999999999819,Thursday,2024-01-04,13,30,3.0,2024,13,1.0,-9.714999999999819
h14_r15_t2,1704326400000000000,1,1704377710000000000,1704379565000000000,371,2040.6934999999999,2037.411,2037.411,2047.2584999999995,3.2824999999998,0.16087184946020572,sl,-3.2824999999998,3.2824999999998,-6.7049999999995995,Thursday,2024-01-04,14,15,2.0,2024,14,1.0,-6.7049999999995995
h01_r60_t3,1704412800000000000,-1,1704431210000000000,1704461405000000000,6036,2044.095,2031.2924999999996,2048.3625,2031.2924999999996,4.267500000000155,0.20855345272642548,tp,12.802500000000464,4.267500000000155,25.465000000000927,Friday,2024-01-05,1,60,3.0,2024,5,1.0,25.465000000000927
h02_r15_t3,1704412800000000000,1,1704421410000000000,1704424200000000000,557,2047.5035,2045.74,2045.74,2052.794,1.7635000000000218,0.08616458633058921,sl,-1.7635000000000218,1.7635000000000218,-3.667000000000044,Friday,2024-01-05,2,15,3.0,2024,2,1.0,-3.667000000000044
h04_r30_t3,1704412800000000000,-1,1704430800000000000,1704439110000000000,1657,2044.5375,2046.4765,2046.4765,2038.7204999999997,1.9390000000000782,0.0947632665518696,sl,-1.9390000000000782,1.9390000000000782,-4.018000000000156,Friday,2024-01-05,4,30,3.0,2024,5,1.0,-4.018000000000156
h05_r60_t2,1704412800000000000,-1,1704435840000000000,1704438820000000000,596,2043.1970000000001,2045.35,2045.35,2038.8910000000005,2.1529999999997926,0.10530421693743705,sl,-2.1529999999997926,2.1529999999997926,-4.445999999999585,Friday,2024-01-05,5,60,2.0,2024,6,1.0,-4.445999999999585
h06_r60_t3,1704412800000000000,1,1704438815000000000,1704448260000000000,1889,2045.1599999999999,2040.9485,2040.9485,2057.7944999999995,4.211499999999887,0.20619132096837642,sl,-4.211499999999887,4.211499999999887,-8.562999999999775,Friday,2024-01-05,6,60,3.0,2024,7,1.0,-8.562999999999775
h13_r30_t3,1704412800000000000,-1,1704461400000000000,1704461405000000000,1,2039.344,2031.9429999999998,2041.8415,2031.9429999999998,2.4670000000000982,0.12096674346200242,tp,7.401000000000295,2.4974999999999454,14.662000000000589,Friday,2024-01-05,13,30,3.0,2024,13,1.0,14.662000000000589
h14_r15_t2,1704412800000000000,1,1704464855000000000,1704467415000000000,512,2046.324,2061.351,2038.8105,2061.351,7.513500000000022,0.36833635847777946,tp,15.027000000000044,7.513500000000022,29.914000000000087,Friday,2024-01-05,14,15,2.0,2024,14,1.0,29.914000000000087
h00_r30_t1,1704672000000000000,1,1704674005000000000,1704678100000000000,812,2046.067,2043.807,2043.807,2048.31,2.242999999999938,0.10963350004826405,sl,-2.259999999999991,2.259999999999991,-4.6599999999999815,Monday,2024-01-08,0,30,1.0,2024,0,1.0,-4.6599999999999815
h01_r60_t3,1704672000000000000,-1,1704679285000000000,1704692075000000000,2557,2042.8905,2031.4919999999997,2046.69,2031.4919999999997,3.79950000000008,0.18589934280827536,tp,11.39850000000024,3.79950000000008,22.65700000000048,Monday,2024-01-08,1,60,3.0,2024,2,1.0,22.65700000000048
h02_r15_t3,1704672000000000000,-1,1704682445000000000,1704685990000000000,709,2041.7635,2035.3375000000005,2043.9054999999998,2035.3375000000005,2.1419999999998254,0.10484337735661188,tp,6.425999999999476,2.1419999999998254,12.711999999998952,Monday,2024-01-08,2,15,3.0,2024,2,1.0,12.711999999998952
h04_r30_t3,1704672000000000000,-1,1704689905000000000,1704692265000000000,471,2035.6925,2029.8410000000003,2037.643,2029.8410000000003,1.95049999999992,0.09575304207978848,tp,5.85149999999976,1.95049999999992,11.56299999999952,Monday,2024-01-08,4,30,3.0,2024,4,1.0,11.56299999999952
h05_r60_t2,1704672000000000000,-1,1704705580000000000,1704729660000000000,4815,2027.0435,2036.1905000000002,2036.1905000000002,2008.7494999999997,9.147000000000162,0.45041906404721554,sl,-9.147000000000162,9.147000000000162,-18.434000000000324,Monday,2024-01-08,5,60,2.0,2024,9,1.0,-18.434000000000324
h06_r60_t3,1704672000000000000,-1,1704698485000000000,1704712710000000000,2844,2030.421,2021.6100000000004,2033.358,2021.6100000000004,2.936999999999898,0.1444654887589125,tp,8.810999999999694,2.936999999999898,17.48199999999939,Monday,2024-01-08,6,60,3.0,2024,7,1.0,17.48199999999939
h13_r30_t3,1704672000000000000,-1,1704721045000000000,1704725865000000000,964,2020.4325,2025.549,2025.549,2005.0829999999996,5.116500000000087,0.2530227727913403,sl,-5.116500000000087,5.116500000000087,-10.373000000000175,Monday,2024-01-08,13,30,3.0,2024,13,1.0,-10.373000000000175
h14_r15_t2,1704672000000000000,-1,1704723600000000000,1704724485000000000,177,2018.9434999999999,2021.9715,2021.9715,2012.8874999999994,3.0280000000002474,0.14985106447209653,sl,-3.0280000000002474,3.0280000000002474,-6.1960000000004944,Monday,2024-01-08,14,15,2.0,2024,14,1.0,-6.1960000000004944
h00_r30_t1,1704758400000000000,1,1704761655000000000,1704778920000000000,3444,2035.016,2030.7115,2030.7115,2039.306,4.289999999999964,0.21092275015732986,sl,-4.304500000000189,4.304500000000189,-8.749000000000379,Tuesday,2024-01-09,0,30,1.0,2024,0,0.9866570513011103,-8.632262541833787
h01_r60_t3,1704758400000000000,1,1704767070000000000,1704778880000000000,2353,2035.7035,2031.2385,2031.2385,2049.0985000000005,4.4650000000001455,0.21970586968957728,sl,-4.4650000000001455,4.4650000000001455,-9.070000000000292,Tuesday,2024-01-09,1,60,3.0,2024,2,0.9866570513011103,-8.948979455301357
h02_r15_t3,1704758400000000000,1,1704766535000000000,1704778030000000000,2290,2035.366,2032.1689999999999,2032.1689999999999,2044.9570000000003,3.1970000000001164,0.1571008914996534,sl,-3.1970000000001164,3.1970000000001164,-6.5340000000002325,Tuesday,2024-01-09,2,15,3.0,2024,2,0.9866570513011103,-6.4468171732016835
h04_r30_t3,1704758400000000000,-1,1704774600000000000,1704782570000000000,1587,2032.9455,2035.0735,2035.0735,2026.5615000000003,2.127999999999929,0.10467302591370274,sl,-2.127999999999929,2.127999999999929,-4.395999999999858,Tuesday,2024-01-09,4,30,3.0,2024,4,0.9866570513011103,-4.337344397519541
h05_r60_t2,1704758400000000000,1,1704782435000000000,1704807490000000000,5009,2033.6095,2040.0445,2030.392,2040.0445,3.2174999999999727,0.1582734980804252,tp,6.434999999999945,3.2174999999999727,12.72999999999989,Tuesday,2024-01-09,5,60,2.0,2024,6,0.9866570513011103,12.560144263063025
h06_r60_t3,1704758400000000000,1,1704784195000000000,1704815815000000000,6321,2035.2065,2031.2694999999999,2031.2694999999999,2047.0175000000004,3.9370000000001255,0.19363226738860922,sl,-3.9370000000001255,3.9370000000001255,-8.014000000000252,Tuesday,2024-01-09,6,60,3.0,2024,7,0.9866570513011103,-7.907069609127346
