session_date,weekday,bars,ticks,open,high,low,close,range_pct,ret_pct,trendiness,vwap_drift_pct,realized_vol_pct,max_dev_pct,mean_abs_dev_pct,vwap_crosses,avg_spread,median_spread
2024-02-08,Thursday,276,90820,2036.5210000000002,2038.826,2020.214,2034.423,0.9139115187125534,-0.10301882475064993,0.11272297442511148,-0.23209862125645955,0.5566138253063445,0.5732663216548973,0.1236145290995063,22,0.07071384672115975,0.06299999999987449
2024-02-09,Friday,264,83558,2034.2404999999999,2037.274,2020.299,2024.2835,0.8344637716140206,-0.48947014868693645,0.5865684830633245,-0.21123105829676425,0.5793600916487799,0.5185976918184649,0.15513908781797658,12,0.062495842394779254,0.06200000000012551
2024-02-12,Monday,276,78897,2025.5165,2027.6425,2011.9675,2018.9505,0.7738766877485301,-0.3241642316910295,0.4188835725677863,-0.21917030118694375,0.5046344156285215,0.48482798958843787,0.11069906153135044,19,0.0739129578331797,0.06299999999987449
2024-02-13,Tuesday,276,100619,2018.9015,2032.5545,1990.0645,1991.4925,2.104609858380907,-1.357619477720923,0.6450694281007265,-0.3801250952216598,0.9245242459791853,1.4604942353228543,0.5330334721981512,12,0.07104747955571836,0.06299999999987449
2024-02-14,Wednesday,276,92961,1991.632,1996.137,1984.2215,1993.7525,0.5982781959719385,0.10647047245675872,0.17796147874617277,0.00706679407765369,0.5272563731120333,0.2811058929019609,0.05762497662742479,41,0.07240507874496413,0.06299999999987449
2024-02-15,Thursday,276,89196,1993.7415,2008.3495,1990.267,2003.4575,0.906963114325502,0.4873249616361947,0.5373150836444023,0.21830593469405066,0.6059461381924447,0.6345271045407848,0.19153443428971187,13,0.07010383691568606,0.06299999999987449
2024-02-16,Friday,264,90962,2003.3955,2015.222,1995.1799999999998,2013.3690000000001,1.000401568237532,0.49782980944102445,0.4976299770481981,0.15030927127874183,0.672547449910164,0.4705082031636648,0.14909588601961526,15,0.06251334858886348,0.06299999999987449
2024-02-19,Monday,243,64657,2013.0315,2023.0565000000001,2009.4245,2016.5035,0.6771876147988772,0.1724761882762381,0.2546948356807486,0.22072885940597206,0.3946123364939786,0.2638749623540649,0.07855902223044689,15,0.07393637505232371,0.06299999999987449
2024-02-20,Tuesday,276,81873,2016.281,2030.9155,2015.0585,2024.4275,0.7864479207015277,0.4040359453865835,0.5137478716024516,0.3587065206717357,0.43644890514714374,0.44673565268976684,0.16828402225648859,5,0.07043876862697,0.06299999999987449
2024-02-21,Wednesday,276,83826,2024.3474999999999,2032.35,2020.098,2025.8685,0.6052320562551614,0.07513532138134316,0.12414299706171983,0.186102522102963,0.4532656562883426,0.2830696070081691,0.10014220680839847,22,0.07049920799317667,0.06299999999987449
