session_date,pnl,equity
2024-01-03,53.500000000000725,10053.5
2024-01-12,194.26697965570776,10247.76697965571
2024-02-01,88.57999999999883,10336.346979655707
2024-02-02,69.87999999999992,10406.226979655707
2024-02-13,-108.4599999999984,10297.76697965571
2024-03-01,-128.92999999999864,10168.83697965571
2024-03-04,-81.8200000000008,10087.01697965571
2024-03-05,112.52000000000116,10199.53697965571
2024-03-08,82.39000000000196,10281.926979655713
2024-03-12,32.639999999998324,10314.56697965571
2024-03-20,-237.4099999999982,10077.156979655712
2024-03-21,45.430000000002835,10122.586979655716
2024-03-26,193.9993597560868,10316.586339411802
2024-03-28,-79.46999999999953,10237.116339411803
2024-04-01,123.12000000000062,10360.236339411804
2024-04-05,-122.45999999999931,10237.776339411805
2024-04-08,132.54796296295518,10370.32430237476
2024-04-10,274.05401162791514,10644.378314002675
2024-04-11,-71.8200000000008,10572.558314002674
2024-04-12,44.769068100343816,10617.327382103018
2024-04-15,263.6665499999923,10880.99393210301
2024-04-19,117.02522522522649,10998.019157328235
2024-04-22,-124.81000000000058,10873.209157328236
2024-04-23,83.57346560845762,10956.782622936693
2024-04-30,-26.370000000000072,10930.412622936692
2024-05-01,-62.02999999999811,10868.382622936695
2024-05-02,203.80451937984782,11072.187142316543
2024-05-09,-35.89000000000233,11036.29714231654
2024-05-15,-18.909999999999126,11017.38714231654
2024-05-17,-51.73000000000066,10965.65714231654
2024-05-20,215.4438942307541,11181.101036547294
2024-05-22,-76.23999999999633,11104.861036547298
2024-05-23,-114.78999999999651,10990.071036547302
2024-06-03,21.54999999999909,11011.6210365473
2024-06-07,-616.664600000005,10394.956436547296
2024-06-12,200.64797197641093,10595.604408523706
2024-06-14,23.720000000000073,10619.324408523706
2024-06-20,12.450000000000546,10631.774408523706
2024-06-21,-144.91000000000275,10486.864408523705
2024-07-03,54.71999999999916,10541.584408523704
2024-07-08,70.81000000000294,10612.394408523707
2024-07-11,-83.31999999999717,10529.07440852371
2024-07-16,-75.01999999999789,10454.05440852371
2024-07-31,-4.70000000000091,10449.35440852371
2024-08-02,84.20000000000236,10533.554408523712
2024-08-05,-39.10000000000146,10494.454408523712
2024-08-06,10.020000000001165,10504.474408523713
2024-08-08,-9.619999999998253,10494.854408523714
2024-08-12,-126.1399999999987,10368.714408523716
2024-08-16,-220.10000000000053,10148.614408523716
2024-08-22,117.88999999999923,10266.504408523715
2024-09-06,98.84999999999927,10365.354408523714
2024-09-12,-141.2000000000018,10224.154408523711
2024-09-18,263.1540191740458,10487.308427697757
2024-09-24,39.48000000000029,10526.788427697758
2024-10-08,93.15000000000218,10619.93842769776
2024-10-23,21.410000000002402,10641.348427697762
2024-10-31,-37.60000000000055,10603.748427697761
2024-11-06,-471.9336000000034,10131.814827697759
2024-11-07,-168.6200000000037,9963.194827697755
2024-11-11,-180.8299999999992,9782.364827697755
2024-11-13,-79.18999999999706,9703.174827697758
2024-11-25,-331.2581328320824,9371.916694865677
2024-12-09,153.73000000000212,9525.646694865678
2024-12-12,-25.080000000001018,9500.566694865676
2024-12-18,-287.29000000000104,9213.276694865675
2024-12-20,75.99999999999618,9289.276694865672
2025-02-03,120.2400000000005,9409.516694865673
2025-02-11,130.850000000002,9540.366694865676
2025-02-14,-175.97000000000043,9364.396694865674
2025-02-25,106.9200000000017,9471.316694865676
2025-02-28,247.56011494252726,9718.876809808204
2025-03-13,-125.78000000000266,9593.096809808201
2025-03-21,237.4899999999996,9830.586809808201
2025-04-03,212.57060693641216,10043.157416744612
2025-04-04,63.586442080385154,10106.743858824997
2025-04-07,-2.3299629629640606,10104.413895862033
2025-04-09,-600.8867999999952,9503.527095862039
2025-04-10,-405.5999999999978,9097.92709586204
2025-04-16,-378.7000000000018,8719.22709586204
2025-04-17,318.86198509484694,9038.089080956885
2025-04-21,-135.06999999999897,8903.019080956887
2025-04-22,-466.5979844961381,8436.421096460748
2025-04-23,367.1017068560956,8803.522803316844
2025-04-25,36.519131355946044,8840.04193467279
2025-04-28,-109.61000000000077,8730.43193467279
2025-05-05,-361.42999999999864,8369.00193467279
2025-05-06,472.9008650190041,8841.902799691794
2025-05-08,-13.79520964360509,8828.107590048188
2025-05-12,1.6370238498097933e-12,8828.10759004819
2025-05-14,-87.54999999999946,8740.55759004819
2025-05-15,-169.51288025889096,8571.044709789301
2025-05-16,277.89280774549917,8848.9375175348
2025-05-20,-295.86000000000075,8553.077517534799
2025-05-22,103.70000000000054,8656.7775175348
2025-05-23,-48.7600000000004,8608.017517534798
2025-05-27,153.37000000000154,8761.3875175348
2025-05-29,-60.949999999996365,8700.437517534803
2025-06-02,-391.4400000000007,8308.997517534803
2025-06-05,200.11000000000132,8509.107517534805
2025-06-06,-123.27000000000062,8385.837517534803
2025-06-16,146.3699999999988,8532.207517534802
2025-06-24,252.86000000000223,8785.067517534804
2025-06-27,134.28000000000048,8919.347517534805
2025-07-03,186.20000000000056,9105.547517534806
2025-07-08,104.87999999999992,9210.427517534805
2025-07-16,328.8708115183152,9539.298329053121
2025-07-21,31.23000000000211,9570.528329053122
2025-07-22,21.9299999999992,9592.45832905312
2025-07-23,36.41999999999989,9628.878329053121
