month,trades,net_pnl,win_rate
2024-01,20,464.5803137381549,60.0
2024-02,15,106.42865352846181,73.33333333333333
2024-03,30,-987.8881680197297,40.0
2024-04,62,565.0910171837099,54.83870967741935
2024-05,44,-63.519632319326575,45.45454545454545
2024-06,32,-1383.1998715793884,37.5
2024-07,35,-360.0460937349063,48.57142857142857
2024-08,40,753.0275519013657,50.0
2024-09,27,357.0480358258225,62.96296296296296
2024-10,18,-222.90090112361446,50.0
2024-11,36,-894.9465574469832,50.0
2024-12,27,-308.00230295638477,48.148148148148145
2025-01,20,528.2115798135837,55.00000000000001
2025-02,32,-38.8422713818519,50.0
2025-03,25,713.6060816200327,56.00000000000001
2025-04,104,-1735.4412202537258,42.30769230769231
2025-05,80,-1699.3286747552204,46.25
2025-06,38,886.8420212460785,60.526315789473685
2025-07,29,-319.9248911047313,48.275862068965516
2025-08,17,-811.4068282700504,17.647058823529413
2025-09,35,-399.47636313066295,45.714285714285715
2025-10,105,-2903.6856978401192,40.0
2025-11,58,958.5316374302421,55.172413793103445
2025-12,50,1995.6207547619765,57.99999999999999
2026-01,102,-3827.316228335644,36.27450980392157
2026-02,145,-454.73809878813233,37.24137931034483
2026-03,165,-5364.790911709221,33.33333333333333
2026-04,85,875.5220925774199,49.411764705882355
2026-05,61,-672.2170916105774,44.26229508196721
2026-06,101,-1851.4517561199928,44.554455445544555
2026-07,60,398.78127947171265,46.666666666666664
