month,trades,net_pnl,win_rate
2024-01,2,247.7669796557085,100.0
2024-02,3,50.000000000000355,66.66666666666666
2024-03,10,-2.134240243910412,60.0
2024-04,14,697.5831835248939,57.14285714285714
2024-05,8,59.65841361060885,25.0
2024-06,8,-374.4193280235918,50.0
2024-07,5,-37.509999999993866,40.0
2024-08,8,-192.89409999999913,50.0
2024-09,4,260.2840191740436,75.0
2024-10,3,76.96000000000403,66.66666666666666
2024-11,10,-1244.2573328320823,30.0
2024-12,5,-70.73449999999954,40.0
2025-02,5,429.6001149425311,80.0
2025-03,2,111.70999999999695,50.0
2025-04,28,-1136.755875135431,46.42857142857143
2025-05,20,-78.02331713798038,55.00000000000001
2025-06,7,214.1720000000011,57.14285714285714
2025-07,8,755.4708115183115,87.5
2025-08,3,-447.1881999999956,0.0
2025-09,7,851.9771216189498,85.71428571428571
2025-10,33,-2003.6381752584568,42.42424242424242
2025-11,13,-619.7639093774537,46.15384615384615
2025-12,8,-101.01822092779503,50.0
2026-01,30,-3732.407531118184,30.0
2026-02,50,-412.26298669209444,36.0
2026-03,60,-2887.078020649626,38.333333333333336
2026-04,20,-2262.550704040563,45.0
2026-05,17,-154.42190581942145,52.94117647058824
2026-06,25,-2076.2546122950193,48.0
2026-07,15,970.7430361471661,53.333333333333336
