month,trades,net_pnl,win_rate
2024-01,89,711.7966711578833,62.92134831460674
2024-02,57,-27.552292285975025,57.89473684210527
2024-03,103,-1049.3674841677716,47.57281553398058
2024-04,187,-896.4215475432628,43.85026737967914
2024-05,128,-864.9047851919566,47.65625
2024-06,101,-1231.8488385948817,47.524752475247524
2024-07,119,-635.0494142290391,52.10084033613446
2024-08,137,548.9699883178093,53.284671532846716
2024-09,105,240.68463273585513,53.333333333333336
2024-10,112,653.4842166239889,62.5
2024-11,137,-1578.1055941459397,44.52554744525548
2024-12,100,-955.6588536991151,51.0
2025-01,90,-783.1071922056601,51.11111111111111
2025-02,118,-202.46549739046515,50.0
2025-03,109,803.152746980787,59.63302752293578
2025-04,266,-2694.1287573335344,40.225563909774436
2025-05,212,-2211.782830517403,42.924528301886795
2025-06,142,94.92305200783028,50.70422535211267
2025-07,101,-1009.0987945623223,50.495049504950494
2025-08,92,161.56570260854127,59.78260869565217
2025-09,136,-580.9308977599179,51.470588235294116
2025-10,257,-4145.793466694237,39.29961089494164
2025-11,185,-76.31736311958957,49.72972972972973
2025-12,178,1836.404885859794,52.24719101123596
2026-01,258,394.09406373745446,43.02325581395349
2026-02,346,2103.327884275391,41.61849710982659
2026-03,379,-3484.366235676352,36.147757255936675
2026-04,226,-2229.7944771686903,44.24778761061947
2026-05,205,-1973.2178307871113,44.87804878048781
2026-06,261,-2678.9509148355314,43.29501915708812
2026-07,203,-1346.8922101256155,45.812807881773395
