month,trades,net_pnl,win_rate
2024-01,80,598.9786211578543,68.75
2024-02,51,-128.19968228599993,60.78431372549019
2024-03,86,-964.0158241678254,52.32558139534884
2024-04,156,-949.8076927516554,51.92307692307693
2024-05,115,-1293.8679251920469,49.56521739130435
2024-06,83,-993.9871085949661,51.80722891566265
2024-07,106,-737.2480242290881,56.60377358490566
2024-08,117,467.74630203367485,57.26495726495726
2024-09,90,309.3641227357892,62.22222222222222
2024-10,100,887.2161966239262,68.0
2024-11,116,-1408.5924041459944,50.0
2024-12,84,-692.9580536991571,58.333333333333336
2025-01,77,-588.1505522057402,58.44155844155844
2025-02,101,-115.20869739052009,56.43564356435643
2025-03,97,769.7656669807014,63.91752577319587
2025-04,224,-2997.4519773337997,46.875
2025-05,179,-2572.891360041382,50.27932960893855
2025-06,126,-285.6155179922849,57.936507936507944
2025-07,87,-959.4269345624007,54.02298850574713
2025-08,79,436.16292260847086,67.08860759493672
2025-09,114,-561.9186854143747,60.526315789473685
2025-10,225,-6504.941796694568,42.66666666666667
2025-11,154,439.2603368802549,57.14285714285714
2025-12,153,1709.6353007802566,60.130718954248366
2026-01,226,-1060.494834515149,50.442477876106196
2026-02,285,4702.714107524625,50.877192982456144
2026-03,318,-5047.511855676871,43.39622641509434
2026-04,195,-1633.131672169004,51.7948717948718
2026-05,173,-2050.304890787295,52.02312138728323
2026-06,224,-3074.5916692351284,50.44642857142857
2026-07,171,-1044.6414667924555,54.97076023391813
