session_date,pnl,equity
2024-01-02,16.183429459658857,10016.18342945966
2024-01-03,-265.3229799999981,9750.86044945966
2024-01-04,36.86899656812592,9787.729446027786
2024-01-05,309.2616485431411,10096.991094570927
2024-01-08,9.891037724471591,10106.882132295399
2024-01-09,98.26157770468207,10205.143710000082
2024-01-10,62.81050559848971,10267.954215598571
2024-01-11,138.2297631666689,10406.18397876524
2024-01-12,-43.13408034429803,10363.049898420943
2024-01-15,44.14336290597966,10407.193261326922
2024-01-16,-153.58493999999928,10253.608321326923
2024-01-17,-61.145831280173866,10192.462490046748
2024-01-18,-41.692988477359094,10150.76950156939
2024-01-19,-29.60659499059176,10121.162906578798
2024-01-22,70.76484542776733,10191.927752006564
2024-01-23,8.27840165288507,10200.20615365945
2024-01-24,-87.7605152381004,10112.44563842135
2024-01-25,6.459082335025954,10118.904720756376
2024-01-26,9.340000000001329,10128.244720756376
2024-01-29,144.9042855264095,10273.149006282787
2024-01-30,143.03404469643937,10416.183050979225
2024-01-31,142.38584847249456,10558.56889945172
2024-02-01,-47.51377429792022,10511.0551251538
2024-02-02,-41.901439999997194,10469.153685153802
2024-02-05,-83.49688648649682,10385.656798667305
2024-02-06,-31.560819999998696,10354.095978667308
2024-02-07,28.06419122807128,10382.160169895378
2024-02-08,46.77827008531466,10428.938439980693
2024-02-09,1.7316172839517945,10430.670057264646
2024-02-12,24.58959793511312,10455.259655199758
2024-02-13,-187.24809555554714,10268.011559644212
2024-02-14,135.09042610904805,10403.10198575326
2024-02-15,-55.57905999999967,10347.52292575326
2024-02-16,17.476064688635592,10364.998990441894
2024-02-19,12.920000000000801,10377.918990441896
2024-02-20,-24.847119999999094,10353.071870441896
2024-02-21,-26.651202222218583,10326.420668219678
2024-02-22,45.71251836257069,10372.133186582249
2024-02-23,-47.84719333334216,10324.285993248906
2024-02-26,30.061258644540704,10354.347251893447
2024-02-27,69.49301432576057,10423.840266219207
2024-02-28,2.317535555562607,10426.15780177477
2024-02-29,27.508999835411387,10453.666801610181
2024-03-01,-176.6732540967157,10276.993547513466
2024-03-04,-173.20814412697985,10103.785403386486
2024-03-05,20.64900482758638,10124.434408214072
2024-03-06,-159.35542509803545,9965.078983116038
2024-03-07,-44.85846450651991,9920.220518609518
2024-03-08,-22.543711183833523,9897.676807425683
2024-03-11,138.312939349523,10035.989746775207
2024-03-12,-109.16696000000158,9926.822786775205
2024-03-13,-111.84039999999897,9814.982386775206
2024-03-14,-121.37696289855505,9693.605423876652
2024-03-15,-3.812423546611182,9689.79300033004
2024-03-18,-46.23670449438087,9643.556295835659
2024-03-19,80.48517811320416,9724.041473948864
2024-03-20,-133.64561685068003,9590.395857098183
2024-03-21,64.21677834979761,9654.61263544798
2024-03-22,-26.22579150029253,9628.386843947688
2024-03-25,50.254549217510416,9678.641393165199
2024-03-26,205.57407983271568,9884.215472997914
2024-03-27,-40.92639999999811,9843.289072997917
2024-03-28,-261.9170355555485,9581.372037442368
2024-04-01,57.56943819087262,9638.94147563324
2024-04-02,29.908605651530507,9668.85008128477
2024-04-03,-108.38856325326454,9560.461518031507
2024-04-04,26.014767549082336,9586.47628558059
2024-04-05,-267.92176567250687,9318.554519908083
2024-04-08,89.34543350158472,9407.899953409667
2024-04-09,310.7994413532373,9718.699394762903
2024-04-10,40.00570191465884,9758.705096677562
2024-04-11,-147.58089235638002,9611.124204321182
2024-04-12,-306.9871415966305,9304.137062724552
2024-04-15,-5.303512059720219,9298.833550664833
2024-04-16,195.91789205101102,9494.751442715844
2024-04-17,-31.585197422081205,9463.166245293762
2024-04-18,-36.44872350367115,9426.717521790091
2024-04-19,5.485573351119243,9432.20309514121
2024-04-22,-498.20734000000215,8933.995755141208
2024-04-23,48.54432261994698,8982.540077761154
2024-04-24,62.723811001335505,9045.26388876249
2024-04-25,203.6474966020183,9248.911385364509
2024-04-26,-9.476515751456844,9239.434869613051
2024-04-29,90.25446538543108,9329.689334998482
2024-04-30,-444.169719999991,8885.519614998491
2024-05-01,-245.55341171717885,8639.966203281314
2024-05-02,-79.72788062014898,8560.238322661164
2024-05-03,332.4939036676471,8892.732226328812
2024-05-06,-210.74157999999827,8681.990646328813
2024-05-07,55.38377917259112,8737.374425501404
2024-05-08,170.547381390004,8907.921806891409
2024-05-09,-109.61451572598781,8798.30729116542
2024-05-10,53.050524696236394,8851.357815861656
2024-05-13,-219.09450000000035,8632.263315861655
2024-05-14,-14.227759273505779,8618.035556588151
2024-05-15,20.617729696871695,8638.653286285022
2024-05-16,-71.71155878787978,8566.941727497142
2024-05-17,-389.60071999999457,8177.341007497148
2024-05-20,94.91912301243063,8272.260130509578
2024-05-21,-7.574749356739829,8264.685381152838
2024-05-22,-131.8537879257174,8132.831593227122
2024-05-23,-393.7384382735502,7739.093154953571
2024-05-24,5.9054085209547225,7744.998563474526
2024-05-27,10.079220597013226,7755.077784071539
2024-05-28,37.68523280942718,7792.7630168809665
2024-05-29,-136.9565400000036,7655.806476880963
