session_date,hour,mean_abs_dev_pct,bar_range_pct,avg_spread
2024-01-02,0,0.03110572853219466,0.04789930853498478,0.1485926667316155
2024-01-02,1,0.11685153757467968,0.07788075917993033,0.11768611111111227
2024-01-02,2,0.047113059350323894,0.05822283302728714,0.14804722222221853
2024-01-02,3,0.1272490727576924,0.04282071609611558,0.14776527777779117
2024-01-02,4,0.11856216391691506,0.0385377796856333,0.14775394241252787
2024-01-02,5,0.1951027424276078,0.05755084475338728,0.14821111111110982
2024-01-02,6,0.2905438419075313,0.05524465384535141,0.14882422316383223
2024-01-02,7,0.260472659003033,0.06325879005391742,0.1481208333333345
2024-01-02,8,0.16085226028657665,0.05930175272530259,0.14802222222222222
2024-01-02,9,0.2694590711701783,0.06438470711773203,0.10539861111112271
2024-01-02,10,0.21195458038114953,0.06313809308743316,0.06249305555555351
2024-01-02,11,0.1239488394527688,0.08347004781812034,0.06250555555555921
2024-01-02,12,0.19365868525508034,0.074197045899439,0.0625000000000101
2024-01-02,13,0.16206923461459136,0.10460701941281264,0.06251747076023069
2024-01-02,14,0.1787715347781734,0.13076268834445146,0.0625249999999994
2024-01-02,15,0.36469770594435186,0.12669523921623382,0.06294305555556244
2024-01-02,16,0.23080983892966067,0.0887380415872638,0.06249583333333564
2024-01-02,17,0.2585062745330019,0.06095887981608252,0.06251527777777836
2024-01-02,18,0.3232030183304506,0.0544057208917952,0.06249444444442878
2024-01-02,19,0.3582034257317379,0.03797450129820006,0.06249583333332869
2024-01-02,20,0.42109222687042264,0.0389310683407498,0.0625048493408641
2024-01-02,21,0.4541701312315271,0.02409401062675273,0.06249820000769327
2024-01-02,23,0.40575694494207304,0.02750994378113869,0.26251946942064786
2024-01-03,0,0.02350335897122023,0.043852351945437316,0.062481379472681044
2024-01-03,1,0.033481491878035445,0.04860466330065015,0.06253333333332119
2024-01-03,2,0.12576940721014226,0.049926124360597436,0.0624833333333312
2024-01-03,3,0.10067419893937285,0.034940484175863956,0.06251970582505441
2024-01-03,4,0.0998307436746844,0.021896935829980695,0.0625089377324964
2024-01-03,5,0.05637721607881858,0.04037876390879157,0.062503578154432
2024-01-03,6,0.05681747408318439,0.03672477531846447,0.06252500000001078
2024-01-03,7,0.047411883307948564,0.05706093166900564,0.06248333333334003
2024-01-03,8,0.08645723034131426,0.0625557253382784,0.0625166666666669
2024-01-03,9,0.24071463200045642,0.06681163191201211,0.06250416666667825
2024-01-03,10,0.3477654457463423,0.06355195415626795,0.06248472222221784
2024-01-03,11,0.4918731546578589,0.0863415196358124,0.06250694444442882
2024-01-03,12,0.7356079047526473,0.1071953913735866,0.062495833333329955
