month,trades,net_pnl,win_rate
2024-01,16,490.3940887381567,62.5
2024-02,12,129.3451035284571,66.66666666666666
2024-03,24,-925.6727180197724,41.66666666666667
2024-04,52,413.31779218368763,61.53846153846154
2024-05,36,-26.363682319324667,52.77777777777778
2024-06,25,-1356.8381215793943,40.0
2024-07,28,-385.5253187349395,46.42857142857143
2024-08,35,590.2149019013434,54.285714285714285
2024-09,23,349.7549608258046,65.21739130434783
2024-10,16,-216.20497612360953,50.0
2024-11,32,-1534.38905744699,53.125
2024-12,25,-367.01215295638576,52.0
2025-01,18,561.0382298135777,55.55555555555556
2025-02,28,14.091253618140001,57.14285714285714
2025-03,22,752.2505316200111,59.09090909090909
2025-04,81,-1676.6972452538118,48.148148148148145
2025-05,58,-1535.4743997552941,55.172413793103445
2025-06,34,841.8031462460717,64.70588235294117
2025-07,23,-236.35696610474815,56.52173913043478
2025-08,15,-766.1215532700753,26.666666666666668
2025-09,28,-306.5011131306977,46.42857142857143
2025-10,81,-2945.633597840209,49.382716049382715
2025-11,48,715.2430124301573,60.416666666666664
2025-12,42,2135.1962047619836,66.66666666666666
2026-01,77,-1907.1330783357603,46.75324675324675
2026-02,115,1041.3674395551539,50.43478260869565
2026-03,130,-5042.3438660410875,44.61538461538462
2026-04,69,712.9297039410176,56.52173913043478
2026-05,52,-948.3917158169933,53.84615384615385
2026-06,82,-1819.2155561200175,54.87804878048781
2026-07,51,48.288179471667036,58.82352941176471
