param,trades,sessions,win_rate,pf,net_pnl,exp_usd,exp_R,mean_session,ci_lo,ci_hi,max_dd_pct,sharpe
A_t0.4_s0.8_fixed_r1.0,1532,350,49.02088772845953,0.930252784610523,-4477.142848000101,-2.922417002611032,-0.022109190119630945,-12.791836708571726,-31.61420193371552,5.316548859428871,-56.32787777897609,-1.1487392172146915
A_t0.4_s0.8_vwap_dynamic,1148,350,41.98606271777003,0.9065589396442024,-5187.855062515557,-4.519037510902053,-0.038293659473849134,-14.822443035758742,-35.70119195383616,4.537732040612771,-63.97928676055614,-1.2121129098507315
A_t0.4_s1.25_vwap_dynamic,890,350,52.13483146067416,0.8919100615399123,-5453.2323036818225,-6.127227307507666,-0.03412612167967075,-15.580663724805204,-36.609163873588656,4.409586099748647,-65.4705014972429,-1.2618677024210816
A_t0.4_s1_vwap_dynamic,1017,350,46.50934119960669,0.8957075238747872,-5638.2814536823025,-5.544032894476207,-0.03901969671708186,-16.10937558194944,-36.8990379259706,4.150004217417782,-68.16409974087479,-1.3053291872031374
A_t0.4_s0.6_fixed_r1.5,1789,350,40.07825600894354,0.9116456589918523,-6058.8316679998925,-3.3867141799887603,-0.03641978212434898,-17.31094762285685,-36.91378196657112,1.59935618885723,-70.67169428631998,-1.4914193228284172
A_t0.3_s1.25_vwap_dynamic,1451,375,49.82770503101309,0.9162368421400702,-5780.122915726002,-3.983544394022055,-0.029456128988251482,-15.413661108602687,-36.91620581674499,5.00855079901439,-68.9724616971322,-1.1802796219024831
A_t0.4_s0.6_fixed_r1.0,2162,350,48.19611470860315,0.9028212905489489,-6934.039391999966,-3.207233761332084,-0.03589797754097696,-19.811541119999916,-37.38402438628536,-3.119650117714725,-81.68278950132478,-1.920517997182268
A_t0.3_s1_fixed_r1.0,2163,375,49.00601017105872,0.9217360358408188,-6752.715939999865,-3.1219213777160726,-0.0276587159000859,-18.007242506666323,-37.61117568799931,0.8142115673331997,-76.14723389227393,-1.498969470026217
A_t0.3_s0.8_vwap_dynamic,1924,375,38.92931392931393,0.9146386502734255,-6441.690857205674,-3.34807217110482,-0.03678985066286346,-17.17784228588181,-37.8666089388445,3.2456017504912555,-70.7284999844023,-1.3414396457418087
A_t0.4_s0.6_vwap_dynamic,1406,350,34.992887624466576,0.8958542988358498,-6130.283893253073,-4.3600881175341915,-0.05006425969784379,-17.51509683786593,-38.181736034110855,2.2032177440202116,-72.53038039661529,-1.4362881201489113
