month,trades,net_pnl,win_rate
2024-01,41,802.5361413338612,73.17073170731707
2024-02,28,179.9790168478765,64.28571428571429
2024-03,46,-785.231944961724,47.82608695652174
2024-04,96,-216.38524633998878,62.5
2024-05,64,-586.4845927984921,54.6875
2024-06,49,-911.6080876607626,46.93877551020408
2024-07,53,-868.0733753384761,54.71698113207547
2024-08,71,781.4817994444575,63.38028169014085
2024-09,57,540.2683610721739,64.91228070175438
2024-10,51,777.0212593815102,68.62745098039215
2024-11,65,-895.805332540206,58.46153846153847
2024-12,48,-607.7182142702654,58.333333333333336
2025-01,43,46.37004123727584,67.44186046511628
2025-02,56,-87.81080818160626,62.5
2025-03,53,684.9852480028862,69.81132075471697
2025-04,138,-1891.0601252858496,55.79710144927537
2025-05,110,-1925.144514095179,59.09090909090909
2025-06,64,97.51924168569117,60.9375
2025-07,50,-951.3614439826276,57.99999999999999
2025-08,40,-387.86672439292306,55.00000000000001
2025-09,60,139.4097412467802,66.66666666666666
2025-10,139,-5353.745012533199,49.64028776978417
2025-11,89,856.265709693076,66.29213483146067
2025-12,92,1994.1100426996456,63.04347826086957
2026-01,147,-4355.840829297093,49.65986394557823
2026-02,183,1691.0700295799652,51.91256830601093
2026-03,208,-4144.408526004393,49.03846153846153
2026-04,108,-1787.4072089830904,53.70370370370371
2026-05,99,-1988.8955112827862,56.56565656565656
2026-06,132,-2065.703624074878,56.81818181818182
2026-07,96,-370.20390686305893,57.291666666666664
