param,trades,sessions,win_rate,pf,net_pnl,exp_usd,exp_R,mean_session,ci_lo,ci_hi,max_dd_pct,sharpe
C_t0.2_s0.8_r3_me0.35_h48,2543,386,33.34644121116791,1.065564923994092,4593.990399999864,1.8065239480927504,0.04896062385411453,11.901529533678389,-5.009217712954251,29.67033683108826,-22.703441508499846,1.0837705342900563
C_t0.35_s0.6_r2_me0.35_h48,1629,368,39.16513198281154,1.0677035365211245,3539.177982999953,2.1726077243707507,0.04252835798747315,9.617331475543343,-6.692583088451113,26.617438113043423,-22.316043851580677,0.936620971513459
C_t0.2_s0.8_r1.5_me0.35_h48,3487,386,42.15658158875824,1.035946148159333,3018.96214400009,0.8657763533123287,0.03276226150714028,7.8211454507774105,-6.815411638860379,22.869049606736322,-19.203117419979826,0.8304139875544204
C_t0.5_s0.6_r1.5_me0.35_h48,956,302,45.71129707112971,1.092435929211878,3378.0581900000225,3.5335336715481405,0.045390745936551874,11.185623145695432,-6.834826290148614,29.988752844784536,-12.276178254921172,1.0847261106343913
C_t0.2_s0.6_r1.5_me0.35_h48,4436,386,41.77186654643823,1.026990262709707,2258.896565999911,0.5092192439134156,0.034086197005342864,5.852063642486817,-7.151887976684277,19.03764018847191,-13.677355305082678,0.7001885673452609
C_t0.2_s0.8_r1.5_me0.35_h24,3709,386,43.54273389053653,1.0330672668519627,2702.5988319998705,0.728659701267153,0.028872858970891056,7.00155137823799,-7.559373549223638,21.863249949222983,-24.412601584175057,0.7561475474799058
C_t0.5_s0.6_r3_me0.35_h48,769,302,42.78283485045514,1.104877252718195,3242.2709400001013,4.216217087126269,0.05605360973135915,10.73599649006656,-7.666996786423733,30.191127225993675,-13.178688026376598,1.0154708940399921
C_t0.2_s0.6_r1.5_me0.35_h24,4551,386,42.27642276422765,1.0205039822440622,1688.3621339999086,0.37098706526036224,0.029166719458719927,4.373995165802866,-8.655912141710012,17.73065058471551,-18.872426800752994,0.5244968201368304
C_t0.35_s0.8_r3_me0.35_h48,1203,368,41.56275976724855,1.0709928153673705,3200.6273840001872,2.660538141313539,0.03764867334436541,8.69735702173963,-8.916173055434324,26.477261306522273,-26.998306968314488,0.7965106814030779
C_t0.35_s0.8_r2_me0.35_h48,1331,368,42.22389181066867,1.052782575362405,2612.750132000088,1.962997845229217,0.028854328787227778,7.099864489130668,-9.229192662771384,23.74762887934806,-25.130486227261486,0.6928478367651283
C_t0.2_s0.4_r2_me0.35_h24,5469,386,35.41780947156701,1.0070368779913532,543.9818639998116,0.09946642238065671,0.03183035330145272,1.409279440414022,-9.280132673057627,12.372533357511658,-27.558218309898358,0.2053959678603493
C_t0.35_s0.8_r1.5_me0.35_h48,1494,368,44.57831325301205,1.0526992321515298,2825.798780000059,1.8914315796519807,0.02552952731901358,7.678801032608842,-9.280822443749706,25.17903194918457,-30.002572024572334,0.7198503173392359
C_t0.2_s0.4_r2_me0.35_h48,5421,386,34.8828629404169,1.0060806060422736,474.2804239997977,0.08748947131521817,0.03166543475380319,1.2287057616575092,-9.515368852849639,12.416689591709272,-25.874778428405403,0.17912045276845748
C_t0.35_s0.8_r3_me0_h48,1358,368,40.42709867452135,1.0658687506430944,3428.759560000213,2.5248597643595088,0.03653543205130996,9.317281413044054,-9.661820502444646,29.449612322554717,-23.56581159897122,0.7708589781225023
C_t0.35_s0.4_r1.5_me0.35_h48,2612,368,41.50076569678408,1.015292609867348,879.7459039999899,0.3368093047473162,0.02596340119991406,2.3906138695651835,-9.922064107405317,14.994933904687825,-24.50495727913438,0.3133745486660287
C_t0.35_s0.4_r2_me0.35_h24,2418,368,37.71712158808933,1.012855686916995,704.9402739998363,0.2915385748551846,0.023535393942806945,1.9155985706517213,-10.439303365354299,14.641753111140796,-28.535646019291843,0.2446087389505006
C_t0.2_s0.6_r2_me0.35_h24,4066,386,37.40777176586326,1.0140869281661278,1117.7281959998277,0.27489626069843276,0.023664545501794285,2.895668901553945,-10.447094878756898,16.51153785932651,-31.112415938000947,0.33812840458279303
C_t0.2_s0.6_r3_me0.35_h48,3259,386,29.08867750843817,1.021362580275454,1586.7011879999777,0.4868675016876274,0.03144932187548131,4.110624839378169,-10.504636587047305,19.145331117098486,-21.01552494587069,0.4373223169280252
C_t0.35_s0.4_r1.5_me0.35_h24,2698,368,42.21645663454411,1.0107347482183724,608.7231899999515,0.22562015937729857,0.02246111022781861,1.654139103260728,-10.54595885876391,13.841891665488738,-27.065711631751157,0.22173308571854336
C_t0.5_s0.6_r1.5_me0_h48,1104,302,44.29347826086957,1.055954977797488,2455.9307549999594,2.2245749592390935,0.029913348856909525,8.132221043046222,-10.779897064155804,28.285829819949843,-14.575468231221189,0.7347533482845391
C_t0.35_s0.6_r2_me0.35_h12,2210,368,44.16289592760181,1.0244159879697032,1221.3188069999596,0.5526329443438731,0.017615044242653533,3.3188011059781437,-11.004101872554472,18.082501978736193,-27.374833985562276,0.37155311776803185
C_t0.2_s0.6_r3_me0_h48,4395,386,28.87372013651877,1.0233208850662159,2371.5909959998335,0.539611148122829,0.03484514917766062,6.144018124351887,-11.042434792746503,23.685246073833813,-27.021355385730995,0.5589900912096718
C_t0.35_s0.6_r2_me0_h24,2357,368,41.40857021637675,1.0308698862920764,2086.008303999935,0.8850268578701463,0.024464056405890822,5.668500826086768,-11.092908914606234,23.255206221806795,-22.93412604531549,0.5345924961386388
C_t0.2_s0.4_r3_me0.35_h48,4611,386,27.130774235523745,1.0036372073917719,270.2513999998789,0.05861014964213379,0.029188106114495713,0.7001331606214504,-11.121835601035373,13.006940542486682,-26.82768636089706,0.09245074048174293
C_t0.2_s0.8_r2_me0.35_h48,3034,386,36.94792353328939,1.0194851656691437,1554.702576000202,0.5124266895188536,0.02577734296099984,4.027726880829522,-11.182292092227673,19.269153689119978,-20.161776138776826,0.4167501280275819
C_t0.35_s0.4_r3_me0.35_h24,2103,368,34.0941512125535,1.0207973985700647,1042.7990299999706,0.4958625915358871,0.02890938558307003,2.833693016304257,-11.212644017391527,17.197265567254888,-21.644109826245906,0.3233828844401789
C_t0.2_s0.6_r1.5_me0.35_h12,4817,386,43.76167739256799,1.0047898230067465,383.5447359999098,0.0796231546605584,0.020229276848345426,0.9936392124349942,-11.223014793135423,13.805543315803604,-28.295038663517424,0.1256476190124829
C_t0.35_s0.4_r2_me0.35_h12,2634,368,40.50873196659074,1.0026437888270974,139.5838259998194,0.052993100227721864,0.01627904259977123,0.37930387499950213,-11.24954085611458,12.415129279483079,-27.620117239743507,0.051859081342036824
C_t0.5_s0.6_r2_me0.35_h48,847,302,43.09327036599764,1.0571351209648945,1926.8817300000135,2.2749489138134753,0.03457821446602516,6.380403079470235,-11.260790653145653,24.47924734188758,-13.634216230531198,0.6400145128901635
C_t0.35_s0.6_r1.5_me0.35_h48,1878,368,42.17252396166134,1.022274898218591,1282.0247689998896,0.6826542965920604,0.01962552885538173,3.4837629592388133,-11.324225786107498,19.01554719650106,-25.771192631068214,0.3683891409107101
C_t0.2_s0.4_r1.5_me0.35_h48,6091,386,41.29042850106715,0.9943576273152284,-445.896584000109,-0.07320580922674585,0.02504110062387468,-1.155172497409603,-11.334636944041653,9.223750845595243,-26.810393272855897,-0.17640010167667997
C_t0.2_s0.8_r3_me0_h48,3203,386,32.063690290352795,1.0323519626181674,2962.442927999651,0.924896324695489,0.031539514731375236,7.674722611398041,-11.339047896374257,27.07731082383376,-32.687619738085886,0.6289263369519672
C_t0.5_s0.8_r1.5_me0.35_h12,1274,302,47.56671899529042,1.0430383960542289,1420.6221400000693,1.1150880219780763,0.01654804195710597,4.704046821192276,-11.383280794701998,21.17769032119199,-14.548732529976355,0.5086456406326231
C_t0.5_s0.4_r3_me0_h48,1132,302,34.36395759717315,1.045499519307934,1759.0582400000549,1.5539383745583524,0.03830885709610398,5.824696158940574,-11.575794783112455,23.53209742052976,-15.02907229407174,0.5876249942150679
C_t0.5_s0.6_r3_me0.35_h12,1255,302,46.05577689243028,1.0374854895664176,1200.9623200002209,0.9569420876495783,0.01938418729223198,3.9766964238417843,-11.585096900661368,20.102826048014187,-14.986943975253942,0.44659177079927487
C_t0.2_s0.4_r1.5_me0.35_h24,6118,386,41.35338345864661,0.9934456336584203,-515.847304000139,-0.08431632951947353,0.024507346317397902,-1.3363919792749657,-11.639077368912318,9.138369583937916,-27.86910987620444,-0.2047714829443318
C_t0.5_s0.4_r1.5_me0.35_h48,1322,302,42.05748865355522,1.0231012455532214,926.1225800000427,0.700546580938005,0.024743341802882984,3.0666310596027846,-11.644041040562733,18.488012522351312,-13.657089301216196,0.36653745772929575
