param,session,side,entry_time,exit_time,bars_held,entry_price,exit_price,stop_price,target_price,range_size,range_pct,exit_reason,price_pnl,risk_price,pnl,weekday,date,hour,rng,tgt,trail_vol,scale,pnl_vt
h01_r60_t3,1704153600000000000,-1,1704161225000000000,1704165355000000000,826,2064.968,2069.9995,2069.9995,2049.8734999999997,5.031500000000051,0.24345315915735408,sl,-5.031500000000051,5.031500000000051,-10.203000000000102,Tuesday,2024-01-02,1,60,3.0,,1.0,-10.203000000000102
h02_r15_t3,1704153600000000000,1,1704162400000000000,1704176495000000000,2811,2066.942,2075.5369999999994,2064.077,2075.5369999999994,2.8649999999997817,0.1387548291765703,tp,8.594999999999345,2.8649999999997817,17.04999999999869,Tuesday,2024-01-02,2,15,3.0,,1.0,17.04999999999869
h05_r60_t2,1704153600000000000,1,1704175200000000000,1704195635000000000,4086,2074.987,2069.5545,2069.5545,2085.852,5.432499999999891,0.26187089824971377,sl,-5.432499999999891,5.432499999999891,-11.004999999999782,Tuesday,2024-01-02,5,60,2.0,,1.0,-11.004999999999782
h06_r30_t3,1704153600000000000,-1,1704182835000000000,1704188120000000000,1057,2073.0215,2076.839,2076.839,2061.5689999999995,3.817500000000109,0.18390065944103395,sl,-3.817500000000109,3.817500000000109,-7.775000000000218,Tuesday,2024-01-02,6,30,3.0,,1.0,-7.775000000000218
h13_r60_t2,1704153600000000000,-1,1704205295000000000,1704239995000000000,6102,2064.9004999999997,2059.908,2071.108,2052.485499999999,6.207500000000437,0.30040551720201775,session_end,4.992499999999836,6.207500000000437,9.844999999999672,Tuesday,2024-01-02,13,60,2.0,,1.0,9.844999999999672
h01_r60_t3,1704240000000000000,1,1704247465000000000,1704270485000000000,4590,2062.6549999999997,2059.543,2059.543,2071.9909999999986,3.1119999999996253,0.1508864213614651,sl,-3.1119999999996253,3.1119999999996253,-6.36399999999925,Wednesday,2024-01-03,1,60,3.0,,1.0,-6.36399999999925
h02_r15_t3,1704240000000000000,1,1704248100000000000,1704266135000000000,3593,2064.113,2061.6965,2061.6965,2071.28,2.3890000000001237,0.1157413295137301,sl,-2.4164999999998145,2.4164999999998145,-4.972999999999629,Wednesday,2024-01-03,2,15,3.0,,1.0,-4.972999999999629
h05_r60_t2,1704240000000000000,-1,1704262875000000000,1704273225000000000,2070,2063.5525,2058.4924999999994,2066.0825,2058.4924999999994,2.5300000000002,0.12256792891448658,tp,5.0600000000004,2.5300000000002,9.9800000000008,Wednesday,2024-01-03,5,60,2.0,,1.0,9.9800000000008
h06_r30_t3,1704240000000000000,-1,1704265395000000000,1704274295000000000,1780,2063.468,2057.5355,2065.4539999999997,2057.5355,1.9774999999999636,0.09577773946129871,tp,5.932499999999891,1.9859999999998763,11.724999999999781,Wednesday,2024-01-03,6,30,3.0,,1.0,11.724999999999781
h13_r60_t2,1704240000000000000,-1,1704290795000000000,1704294240000000000,689,2038.7404999999999,2048.0785,2048.0785,2020.0644999999995,9.338000000000193,0.4575042355152332,sl,-9.338000000000193,9.338000000000193,-18.816000000000386,Wednesday,2024-01-03,13,60,2.0,,1.0,-18.816000000000386
