metric,last_month,ar1_beta,long_run_mean,proj_1m,proj_3m,proj_6m,band_3m,band_6m
avg_spread,0.08019196877501131,0.8783472494528203,0.05826938565669473,0.07752502623956892,0.0731249947263824,0.06833613370551378,0.038190633082782637,0.04613319944537174
realized_vol_pct,1.2882556604481823,0.6903566107859356,1.1537295389131483,1.2466005362382513,1.1979911364932494,1.1682924282463742,0.8025494435998152,0.8448727521760039
ticks,290118.82608695654,0.6548639135752812,280510.02715690556,286802.4828289967,283208.5262918461,281267.86355605227,252783.3670059094,262562.59267305897
range_pct,2.1540774893283254,0.6267995507919367,1.9160175601665095,2.065233416826696,1.9746411392837744,1.9304539419659101,1.3890093939844854,1.4305055647395062
max_dev_pct,1.2039407491404972,0.5975587736719872,1.0865617166098895,1.1567025873436836,1.1116073723962394,1.0919058130830375,0.7809625178993478,0.798542688419019
