year,minute_of_day,time,hour,ticks,avg_spread_points,median_spread_points,p90_spread_points,std_spread_points,min_spread_points,max_spread_points,avg_spread_price
2024,0,00:00,0,27004,5.3418,5.5,6.5,2.1237,3.6000000000058208,52.100000000018554,0.053418
2024,1,00:01,0,22068,5.2702,5.5,6.5,1.666,3.6000000000058208,26.300000000014734,0.052702
2024,2,00:02,0,20711,5.2407,5.5,6.5,1.7445,3.6000000000058208,26.300000000014734,0.052407
2024,3,00:03,0,19721,5.2397,5.5,6.5,1.5417,3.6999999999807187,20.30000000002019,0.052397
2024,4,00:04,0,19457,5.1903,5.5,6.5,1.4868,3.6000000000058208,20.30000000002019,0.051903
2024,5,00:05,0,19610,5.2122,5.5,6.5,1.3756,3.6999999999807187,14.900000000034197,0.052122
2024,6,00:06,0,19522,5.1702,5.5,6.5,1.4149,3.6000000000058208,15.000000000009095,0.051702
2024,7,00:07,0,19158,5.2048,5.5,6.5,1.4586,3.599999999960346,15.200000000004366,0.052048
2024,8,00:08,0,18771,5.2181,5.5,6.5,1.4162,3.6999999999807187,15.100000000029468,0.052181
2024,9,00:09,0,18885,5.1572,5.5,6.5,1.4006,3.6000000000058208,16.30000000000109,0.051572
2024,10,00:10,0,18685,5.2284,5.5,6.5,1.5033,3.6000000000058208,16.30000000000109,0.052284
2024,11,00:11,0,18101,5.2099,5.5,6.5,1.4914,3.6000000000058208,16.30000000000109,0.052099
2024,12,00:12,0,17447,5.2515,5.5,6.5,1.5571,3.6000000000058208,16.30000000000109,0.052515
2024,13,00:13,0,17065,5.2127,5.5,6.5,1.4889,3.6000000000058208,16.30000000000109,0.052127
2024,14,00:14,0,17677,5.2507,5.5,6.5,1.5109,3.6999999999807187,16.30000000000109,0.052507
2024,15,00:15,0,19942,5.2709,5.5,6.5,1.5031,3.6999999999807187,16.30000000000109,0.052709
2024,16,00:16,0,19279,5.1906,5.5,6.5,1.4473,3.6000000000058208,16.30000000000109,0.051906
2024,17,00:17,0,19114,5.2283,5.5,6.5,1.4354,3.6000000000058208,16.30000000000109,0.052283
2024,18,00:18,0,17912,5.2298,5.5,6.5,1.422,3.599999999960346,16.30000000000109,0.052298
2024,19,00:19,0,17424,5.2171,5.5,6.5,1.4777,3.6999999999807187,16.30000000000109,0.052171
2024,20,00:20,0,17345,5.2526,5.5,6.5,1.4788,3.6000000000058208,16.30000000000109,0.052526
2024,21,00:21,0,18337,5.172,5.5,6.5,1.4465,3.6999999999807187,16.30000000000109,0.05172
2024,22,00:22,0,17763,5.2039,5.5,6.5,1.4557,3.6000000000058208,16.30000000000109,0.052039
2024,23,00:23,0,16991,5.2158,5.5,6.5,1.3908,3.6000000000058208,16.30000000000109,0.052158
2024,24,00:24,0,17611,5.1335,5.5,6.5,1.3272,3.6000000000058208,14.800000000013824,0.051335
2024,25,00:25,0,18105,5.1981,5.5,6.5,1.3232,3.6000000000058208,14.800000000013824,0.051981
2024,26,00:26,0,16930,5.2718,5.5,6.5,1.4751,3.6000000000058208,14.800000000013824,0.052718
2024,27,00:27,0,17300,5.2865,5.5,6.5,1.5276,3.6000000000058208,14.900000000034197,0.052865
2024,28,00:28,0,16808,5.2753,5.5,6.5,1.4687,3.6000000000058208,14.900000000034197,0.052753
2024,29,00:29,0,18303,5.2605,5.5,6.5,1.4529,3.6000000000058208,14.900000000034197,0.052605
2024,30,00:30,0,22856,5.2135,5.5,6.5,1.3939,3.6000000000058208,15.000000000009095,0.052135
2024,31,00:31,0,19226,5.2394,5.5,6.5,1.3921,3.6000000000058208,15.000000000009095,0.052394
2024,32,00:32,0,17923,5.2431,5.5,6.5,1.4355,3.6000000000058208,15.000000000009095,0.052431
2024,33,00:33,0,17075,5.2009,5.5,6.5,1.3856,3.6000000000058208,14.900000000034197,0.052009
2024,34,00:34,0,17446,5.1944,5.5,6.5,1.3832,3.599999999960346,14.900000000034197,0.051944
2024,35,00:35,0,18585,5.1694,5.5,6.5,1.3142,3.6000000000058208,14.900000000034197,0.051694
2024,36,00:36,0,18689,5.2335,5.5,6.5,1.3539,3.6000000000058208,14.800000000013824,0.052335
2024,37,00:37,0,18283,5.1839,5.5,6.5,1.3283,3.6000000000058208,14.800000000013824,0.051839
2024,38,00:38,0,17029,5.1875,5.5,6.5,1.3308,3.6000000000058208,14.800000000013824,0.051875
2024,39,00:39,0,17423,5.2188,5.5,6.5,1.3782,3.6000000000058208,14.800000000013824,0.052188
2024,40,00:40,0,17832,5.2249,5.5,6.5,1.3447,3.6000000000058208,14.800000000013824,0.052249
2024,41,00:41,0,17938,5.2017,5.5,6.5,1.3615,3.6000000000058208,14.800000000013824,0.052017
2024,42,00:42,0,17929,5.2314,5.5,6.5,1.4017,3.6000000000058208,14.800000000013824,0.052314
2024,43,00:43,0,18208,5.1433,5.5,6.5,1.342,3.6999999999807187,14.800000000013824,0.051433
2024,44,00:44,0,18321,5.133,5.5,6.5,1.3546,3.6000000000058208,15.300000000024738,0.05133
2024,45,00:45,0,18622,5.1559,5.5,6.5,1.3368,3.6000000000058208,15.200000000004366,0.051559
2024,46,00:46,0,17916,5.1436,5.5,6.5,1.3149,3.6000000000058208,15.000000000009095,0.051436
2024,47,00:47,0,17644,5.1419,5.5,6.5,1.3108,3.6999999999807187,14.800000000013824,0.051419
2024,48,00:48,0,17525,5.1666,5.5,6.5,1.3364,3.6000000000058208,14.700000000038926,0.051666
2024,49,00:49,0,17716,5.1394,5.5,6.5,1.3609,3.599999999960346,15.000000000009095,0.051394
2024,50,00:50,0,18642,5.1352,5.5,6.5,1.3126,3.599999999960346,14.900000000034197,0.051352
2024,51,00:51,0,18637,5.1352,5.5,6.5,1.3069,3.6999999999807187,14.900000000034197,0.051352
2024,52,00:52,0,19195,5.1517,5.5,6.5,1.3219,3.599999999960346,15.000000000009095,0.051517
2024,53,00:53,0,19364,5.1427,5.5,6.5,1.3002,3.6000000000058208,14.900000000034197,0.051427
2024,54,00:54,0,21185,5.1332,5.5,6.5,1.2876,3.6000000000058208,14.900000000034197,0.051332
2024,55,00:55,0,21397,5.1436,5.5,6.5,1.2889,3.6000000000058208,15.000000000009095,0.051436
2024,56,00:56,0,19054,5.157,5.5,6.5,1.3111,3.6000000000058208,14.900000000034197,0.05157
2024,57,00:57,0,18886,5.1569,5.5,6.5,1.313,3.6000000000058208,14.900000000034197,0.051569
2024,58,00:58,0,18374,5.1351,5.5,6.5,1.3096,3.6000000000058208,14.900000000034197,0.051351
2024,59,00:59,0,23845,5.0701,5.5,6.5,1.3702,3.6000000000058208,15.100000000029468,0.050701
2024,60,01:00,1,68027,5.0114,5.5,6.5,1.3926,3.599999999960346,14.99999999996362,0.050114
2024,61,01:01,1,50825,5.0819,5.5,6.5,1.3436,3.6000000000058208,11.300000000028376,0.050819
2024,62,01:02,1,44773,5.0441,5.5,6.5,1.2495,3.599999999960346,11.300000000028376,0.050441
2024,63,01:03,1,41710,5.0527,5.5,6.5,1.2803,3.6000000000058208,11.300000000028376,0.050527
2024,64,01:04,1,39576,5.0288,5.5,6.5,1.3033,3.599999999960346,11.300000000028376,0.050288
2024,65,01:05,1,41283,4.9956,5.5,6.5,1.2904,3.6000000000058208,11.300000000028376,0.049956
2024,66,01:06,1,39628,4.9915,5.5,6.5,1.2706,3.599999999960346,11.300000000028376,0.049915
2024,67,01:07,1,37859,5.0037,5.5,6.5,1.3033,3.6000000000058208,11.300000000028376,0.050037
2024,68,01:08,1,36486,5.0106,5.5,6.5,1.3122,3.599999999960346,11.300000000028376,0.050106
2024,69,01:09,1,35570,4.9842,5.5,6.5,1.282,3.599999999960346,11.300000000028376,0.049842
2024,70,01:10,1,36575,5.0027,5.5,6.5,1.2951,3.6000000000058208,11.300000000028376,0.050027
2024,71,01:11,1,36670,5.0466,5.5,6.5,1.3598,3.6000000000058208,11.300000000028376,0.050466
2024,72,01:12,1,34686,5.0477,5.5,6.5,1.4099,3.599999999960346,11.300000000028376,0.050477
