session_date,weekday,bars,ticks,open,high,low,close,range_pct,ret_pct,trendiness,realized_vol_pct,avg_spread,median_spread
2024-01-02,Tuesday,276,102285,2063.9055,2078.9895,2056.198,2059.7765,1.10428990086999,-0.2000576092267744,0.1811640304499421,0.7778814689495674,0.1050194227959088,0.0630000000001018
2024-01-03,Wednesday,276,121914,2059.748,2066.0825,2030.6225,2042.9665,1.7215698231045755,-0.8147355890138042,0.4732515510434301,0.8743622169756932,0.0715345465574747,0.0629999999996471
2024-01-04,Thursday,276,99700,2042.957,2051.0585,2036.2755,2044.165,0.7236079858753821,0.0591299767934461,0.081715484001899,0.6087023374589381,0.0711646464031175,0.0629999999998744
2024-01-05,Friday,264,137735,2044.217,2064.0845,2024.5165,2045.5785,1.9356066405865904,0.0666025182258037,0.0344091184795789,1.1403652322339015,0.062899271460248,0.0629999999996471
2024-01-08,Monday,276,118516,2044.312,2046.69,2016.7695,2030.739,1.463597533057585,-0.663939750879507,0.4536354673217287,0.7315639432972593,0.0707474901125639,0.0629999999998744
2024-01-09,Tuesday,276,109917,2030.7115,2042.0865,2026.122,2030.7005,0.7861530306003608,-0.0005416820656192,0.0006890287826093,0.6646755190366337,0.0707229878048786,0.0629999999998744
2024-01-10,Wednesday,276,103604,2030.703,2040.3685,2020.453,2026.658,0.9807194848286562,-0.1991921024394051,0.2031081318570992,0.6169128150261031,0.0711153518383235,0.0629999999998744
2024-01-11,Thursday,276,135455,2026.7135,2048.768,2013.3085,2035.255,1.7496059507177475,0.4214458531015874,0.2408804410665705,0.8981662695521342,0.0714306382978734,0.0629999999998744
2024-01-12,Friday,264,120308,2035.3115,2062.368,2030.1095,2049.1325,1.5849416661773843,0.6790606744962695,0.4284452159895896,0.7141938424424052,0.062502440261139,0.0620000000003528
2024-01-15,Monday,243,74311,2047.7525,2058.726,2045.8635,2054.1355,0.6281276667956788,0.3117075916156767,0.4962487852283553,0.4359595727200001,0.0729588337382846,0.0629999999996471
2024-01-16,Tuesday,276,128207,2054.097,2054.6085000000003,2024.2895,2028.129,1.4760257183570404,-1.2642051470792202,0.8564926283848244,0.913376716086113,0.0707553799392077,0.0629999999996471
2024-01-17,Wednesday,276,122466,2028.161,2033.0335,2001.843,2009.5475,1.537871007281974,-0.917752584730696,0.5967682467417912,0.7773523913230881,0.0711683084032593,0.0629999999998744
2024-01-18,Thursday,276,101528,2009.5645,2024.5315,2005.817,2023.723,0.9312714272171928,0.7045556387963663,0.7565524058884806,0.5280108485094163,0.0710016999575013,0.0629999999998744
2024-01-19,Friday,264,92535,2023.8235,2039.3315,2020.4115,2029.552,0.9348641321735736,0.2830533393845939,0.3027748414376434,0.5379427974202463,0.0624924434848878,0.0620000000001255
2024-01-22,Monday,276,96507,2027.59,2032.1735,2016.5495,2020.8515,0.7705699870289258,-0.3323403646693936,0.4312916026625861,0.6360003097422914,0.0705273392258466,0.0629999999998744
2024-01-23,Tuesday,276,97035,2020.8545,2038.0075,2019.659,2029.437,0.907957500156496,0.4246965825595055,0.4677494073084968,0.5805458992098748,0.0704673222575134,0.0629999999998744
2024-01-24,Wednesday,276,106232,2029.303,2036.8305,2011.238,2016.4015,1.261147300329225,-0.6357601600155296,0.5041125329686414,0.7134451729883509,0.0712078428980924,0.0629999999998744
2024-01-25,Thursday,276,99767,2016.2765,2025.3405,2009.661,2020.5485,0.7776463198375799,0.2118757025636084,0.272457667655215,0.5729801098856785,0.0714981058291594,0.0629999999998744
2024-01-26,Friday,264,85799,2020.656,2026.9695,2015.9535,2018.5685,0.5451694895123206,-0.103308034618465,0.1894970951343569,0.4797361844823654,0.0625017177757968,0.0620000000001255
2024-01-29,Monday,276,91291,2021.932,2037.6615,2019.3815,2031.0305,0.904085795170174,0.4499904052163886,0.4977297592997665,0.6246942646188968,0.0706368062317421,0.0629999999998744
2024-01-30,Tuesday,276,99841,2030.992,2048.6555,2029.125,2036.5315,0.9616236794630332,0.2727484894081247,0.2836332915183894,0.602174772931372,0.0707016850173367,0.0629999999998744
2024-01-31,Wednesday,276,127196,2036.494,2056.0665,2030.925,2040.0835,1.2345481990126144,0.1762588055746698,0.1427719109838245,0.8200230038550443,0.0723648369036026,0.0629999999998744
2024-02-01,Thursday,276,121287,2039.997,2065.5575,2030.013,2054.9265,1.7423800133039398,0.7318393115284086,0.4200227883357538,0.8790578893366081,0.0704248890510071,0.0629999999996471
2024-02-02,Friday,264,110234,2054.9385,2057.7225,2027.8415,2039.7065,1.454106777404767,-0.7412387280690005,0.5097553629396697,0.8699367943944494,0.0628938114884167,0.0629999999996471
2024-02-05,Monday,276,99243,2039.3985,2039.9215,2014.912,2025.159,1.226317465664503,-0.6982205782734422,0.5693636418161087,0.6624745253330748,0.0708764957264951,0.0629999999998744
2024-02-06,Tuesday,276,91238,2025.1095,2038.9795,2022.9315,2035.3695,0.7924509761077005,0.506639270617218,0.6393320039880444,0.5019223401118331,0.0707108998964244,0.0629999999998744
2024-02-07,Wednesday,276,85273,2035.4145,2044.6275,2030.6185,2036.5275,0.6882627592561621,0.0546817368157829,0.0794489256906476,0.5755218692272488,0.0705853255885056,0.0629999999998744
2024-02-08,Thursday,276,90820,2036.521,2038.826,2020.214,2034.423,0.9139115187125534,-0.1030188247506499,0.1127229744251114,0.5566138253063445,0.0707138467211597,0.0629999999998744
2024-02-09,Friday,264,83558,2034.2405,2037.274,2020.299,2024.2835,0.8344637716140206,-0.4894701486869364,0.5865684830633245,0.5793600916487799,0.0624958423947792,0.0620000000001255
2024-02-12,Monday,276,78897,2025.5165,2027.6425,2011.9675,2018.9505,0.7738766877485301,-0.3241642316910295,0.4188835725677863,0.5046344156285215,0.0739129578331797,0.0629999999998744
2024-02-13,Tuesday,276,100619,2018.9015,2032.5545,1990.0645,1991.4925,2.104609858380907,-1.357619477720923,0.6450694281007265,0.9245242459791853,0.0710474795557183,0.0629999999998744
2024-02-14,Wednesday,276,92961,1991.632,1996.137,1984.2215,1993.7525,0.5982781959719385,0.1064704724567587,0.1779614787461727,0.5272563731120333,0.0724050787449641,0.0629999999998744
2024-02-15,Thursday,276,89196,1993.7415,2008.3495,1990.267,2003.4575,0.906963114325502,0.4873249616361947,0.5373150836444023,0.6059461381924447,0.070103836915686,0.0629999999998744
2024-02-16,Friday,264,90962,2003.3955,2015.222,1995.18,2013.369,1.000401568237532,0.4978298094410244,0.4976299770481981,0.672547449910164,0.0625133485888634,0.0629999999998744
2024-02-19,Monday,243,64657,2013.0315,2023.0565,2009.4245,2016.5035,0.6771876147988772,0.1724761882762381,0.2546948356807486,0.3946123364939786,0.0739363750523237,0.0629999999998744
2024-02-20,Tuesday,276,81873,2016.281,2030.9155,2015.0585,2024.4275,0.7864479207015277,0.4040359453865835,0.5137478716024516,0.4364489051471437,0.07043876862697,0.0629999999998744
2024-02-21,Wednesday,276,83826,2024.3475,2032.35,2020.098,2025.8685,0.6052320562551614,0.0751353213813431,0.1241429970617198,0.4532656562883426,0.0704992079931766,0.0629999999998744
2024-02-22,Thursday,276,90165,2025.7835,2034.933,2019.6465,2024.977,0.7545969250909553,-0.0398117567844807,0.0527589703333101,0.4791414261941336,0.0704855678281556,0.0629999999998744
2024-02-23,Friday,264,85994,2024.824,2041.4435,2016.0805,2035.6235,1.2526026953453646,0.5333549977677112,0.4257974214406873,0.5334995938396907,0.0624999362326239,0.0620000000001255
2024-02-26,Monday,276,81230,2034.0965,2037.121,2025.1185,2031.373,0.5900654172503641,-0.133892369413155,0.2269110601957963,0.4446658121896144,0.070449798460974,0.0629999999998744
2024-02-27,Tuesday,276,78022,2031.286,2039.5715,2028.7755,2030.3895,0.5314859650487449,-0.044134602414434,0.083040014820309,0.3818522476833711,0.0699116870355573,0.0629999999998744
