session_date,weekday,bars,ticks,open,high,low,close,range_pct,ret_pct,trendiness,realized_vol_pct,avg_spread,median_spread
2020-02-03,Monday,276,65569,1589.5065,1590.109,1569.5305,1578.8865,1.2946471121697112,-0.6681319013165339,0.5160726000437335,0.7662925195240464,0.0928490867720306,0.0929999999998472
2020-02-04,Tuesday,276,61243,1578.8975,1579.6655,1549.1354999999999,1554.203,1.9336277370760417,-1.5640343974197224,0.8088601375696004,0.7799659388408242,0.09268727339765204,0.09200000000009823
2020-02-05,Wednesday,276,62554,1554.1865,1562.435,1547.609,1556.194,0.9539395690285575,0.12916725245007188,0.135404019964922,0.757128897148961,0.09278354898336436,0.09200000000009823
2020-02-06,Thursday,276,56070,1556.154,1568.328,1552.591,1565.8825000000002,1.0112752336851032,0.625163062267627,0.618192794052241,0.6022848893041844,0.09260221575787446,0.09200000000009823
2020-02-07,Friday,264,58059,1565.8874999999998,1574.065,1560.5205,1570.2755,0.8649727391016259,0.28022447334180445,0.32396913876482386,0.622805397617509,0.09274216072929456,0.0929999999998472
2020-02-10,Monday,275,51987,1574.1545,1577.048,1568.069,1572.0585,0.570401444076807,-0.1331508438339441,0.23343356721238376,0.4838153209430656,0.09249515046008491,0.09200000000009823
2020-02-11,Tuesday,276,51990,1572.0555,1574.0529999999999,1562.2645,1567.164,0.7498781054485599,-0.3111531367690232,0.4149382873139075,0.5929828969856554,0.09249492926004785,0.09200000000009823
2020-02-12,Wednesday,276,50254,1567.1185,1571.444,1561.95,1569.96,0.605825277412009,0.18132004695241594,0.2992942911312431,0.502449305682222,0.09253271728271646,0.0929999999998472
2020-02-13,Thursday,276,57337,1569.8964999999998,1578.3274999999999,1569.23,1577.437,0.579496801222237,0.48031828849864094,0.8288540807914466,0.5814801845858949,0.09260516786350094,0.09200000000009823
2020-02-14,Friday,264,48708,1577.396,1585.029,1573.1935,1584.121,0.7503188799768676,0.4263355555611994,0.5682058214693242,0.4257264354975977,0.09266830244721548,0.09200000000009823
2020-02-17,Monday,227,30113,1583.367,1585.6105,1578.9544999999998,1584.351,0.4203700089745572,0.062146046999852274,0.14783653846155723,0.3274981810607183,0.09274896033269278,0.0929999999998472
2020-02-18,Tuesday,276,54262,1584.3584999999998,1605.146,1584.308,1600.9234999999999,1.3152326320084733,1.0455335708427138,0.7949419330070103,0.6150687198060413,0.09357416713195589,0.0929999999998472
2020-02-19,Wednesday,276,58212,1600.9195,1612.975,1599.5965,1610.4515000000001,0.8356759974502032,0.5954078265646806,0.7124864521433862,0.5763177373288744,0.0942058805475416,0.0929999999998472
2020-02-20,Thursday,276,65088,1610.4470000000001,1623.845,1603.983,1622.2275,1.233322177010487,0.7315049796733358,0.5931175108246802,0.732644434546034,0.09295370483772276,0.0929999999998472
2020-02-21,Friday,264,67409,1622.2024999999999,1649.232,1619.0385,1643.4485,1.8612657790873743,1.3097008542398434,0.7036613840727374,0.8563530022682573,0.09338455170657112,0.0929999999998472
2020-02-24,Monday,263,91338,1666.847,1689.3429999999998,1650.9859999999999,1658.7495,2.3011710132963596,-0.4857974367173521,0.21110879370128238,1.4326558464331414,0.09521500859270592,0.0929999999998472
2020-02-25,Tuesday,276,107708,1653.99,1658.8139999999999,1625.1195,1639.9454999999998,2.037164674514346,-0.8491284711515908,0.4168187686417744,1.6939566045335566,0.09433778290152213,0.0929999999998472
2020-02-26,Wednesday,276,94709,1639.9385,1655.0065,1625.0965,1643.6775,1.8238488821379493,0.22799635474135357,0.12500835840856073,1.3792536222347813,0.09386773997569893,0.0929999999998472
2020-02-27,Thursday,276,99155,1643.6925,1660.4345,1635.4164999999998,1645.8245000000002,1.5220608477559066,0.12970795936588272,0.0852186425773459,1.392118709646032,0.09385416666666531,0.0929999999998472
2020-02-28,Friday,264,131335,1645.7965,1648.1815000000001,1563.0735,1586.2075,5.171234718265604,-3.6206784982225897,0.7001574470085047,2.3823281165860806,0.09824357591523283,0.0929999999998472
2020-03-02,Monday,276,103533,1585.0525,1610.993,1581.805,1592.087,1.8414532010769278,0.44380233462298446,0.24100657804577258,1.5106775420706549,0.09352848197458886,0.0929999999998472
2020-03-03,Tuesday,276,110811,1592.033,1652.989,1589.771,1645.827,3.970897588178139,3.3789500594522917,0.8509285330127501,1.7700955509822376,0.09517017266537059,0.0929999999998472
2020-03-04,Wednesday,276,87554,1645.8165,1649.4135,1631.9485,1636.774,1.0611754105029416,-0.5494233409374629,0.5177497852848522,1.220319279478029,0.09314688508616928,0.0929999999998472
2020-03-05,Thursday,276,80032,1636.7060000000001,1675.0085,1635.7044999999998,1674.666,2.4014086830499846,2.3192925302406056,0.9658050071239499,0.9138505100336505,0.09271911414801032,0.09200000000009823
2020-03-06,Friday,264,137276,1674.6245,1692.109,1642.453,1674.5549999999998,2.9652020497729463,-0.0041501841159054965,0.0013996294506215144,2.441247016169294,0.09604026888198645,0.0929999999998472
2020-03-09,Monday,276,155599,1700.2335,1703.15,1657.6755,1666.636,2.6746032236160526,-1.9760521128421527,0.7388206577312573,2.2863480813346304,0.11778859569305246,0.09300000000007458
2020-03-10,Tuesday,276,122872,1666.6644999999999,1671.5115,1641.757,1652.461,1.7852723208540175,-0.8522111078744312,0.47735636626392125,1.5668264059788823,0.09574033956063875,0.0929999999998472
2020-03-11,Wednesday,276,102947,1652.4479999999999,1671.313,1633.1995000000002,1643.7424999999998,2.3064871027711575,-0.5268244447026491,0.22840988101329043,1.3524922517578453,0.09376615253825565,0.0929999999998472
2020-03-12,Thursday,276,175455,1643.7845,1650.438,1560.8505,1576.9865,5.450075724646393,-4.063671363247433,0.745617413143574,2.687144909774152,0.09752689479122442,0.0929999999998472
2020-03-13,Friday,252,187306,1576.9904999999999,1597.92,1504.854,1529.4305,5.901494016609488,-3.015871053123018,0.5110351793350948,3.4711736679140017,0.09581413230809882,0.0929999999998472
2020-03-16,Monday,276,243167,1557.7240000000002,1560.9009999999998,1451.411,1507.357,7.028844647703942,-3.23337125190343,0.4600146132066882,4.52137047786582,0.09796963981504012,0.0929999999998472
2020-03-17,Tuesday,276,191258,1507.3635,1553.9485,1465.722,1537.8995,5.853034122160978,2.025788736426221,0.34610916221316795,3.4141112758639687,0.09560875137312216,0.0929999999998472
2020-03-18,Wednesday,276,213405,1537.92,1539.9605000000001,1472.8835,1498.1934999999999,4.361540262172299,-2.5831317623803716,0.5922521877841895,3.163690272261943,0.09577228446176267,0.0929999999998472
2020-03-19,Thursday,276,166822,1498.217,1498.8055,1455.5925,1471.4975,2.8842951321470762,-1.7834198917780368,0.6183208756624204,2.9343008010071965,0.09429780968157549,0.0929999999998472
2020-03-20,Friday,252,131158,1471.4805000000001,1516.1625,1471.147,1498.903,3.059197862289033,1.8635992797729837,0.6091790605458102,2.1148340878293097,0.09369406270847369,0.0929999999998472
2020-03-23,Monday,276,142183,1491.7215,1567.771,1485.203,1567.2555,5.535081447843983,5.063545708766675,0.9148096114717553,2.2714052170505155,0.10079427178549738,0.0929999999998472
2020-03-24,Tuesday,276,67704,1567.249,1640.1475,1558.2440000000001,1631.173,5.225940485525905,4.078739243094108,0.7804794666894584,3.589923122242167,1.4771257857641744,1.1620000000000346
2020-03-25,Wednesday,274,32797,1630.9135,1633.735,1600.1765,1609.775,2.0576505130406897,-1.2961141102823674,0.6299000253289064,2.1867557277397154,2.321775062955149,2.0389999999999873
