cfg,lots,worst,maxDD,pass_pct,d_pass,d_res,breach,Ecash,trades
GEO_2026_NO_H13  r60 t3 s1.0,0.04,-991.977999999992,-4.282287999999976,16.867469879518072,177.5,250.0,0.0,208.36919518072193,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.05,-1239.97249999999,-5.352859999999965,27.86144578313253,163.0,250.0,0.0,1036.584144578311,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.06,-1487.966999999988,-6.423431999999961,41.1144578313253,167.0,238.5,0.0,2978.7361915662505,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.07,-1735.9614999999862,-7.494003999999949,44.57831325301205,147.0,228.0,0.0,4422.111045783109,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.08,-1983.955999999984,-8.564575999999953,49.6987951807229,149.5,221.5,0.0,6232.921281927678,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.09,-2231.9504999999817,-9.635147999999946,57.37951807228916,165.0,200.0,0.0,9689.929324698758,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.1,-2479.94499999998,-10.70571999999993,60.8433734939759,160.0,178.0,38.11881188118812,6537.659018072257,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.11,-2727.939499999978,-11.776291999999913,63.55421686746988,165.0,167.5,50.71090047393365,6568.446632530095,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.12,-2975.933999999976,-12.846863999999922,59.63855421686747,152.0,154.0,55.80808080808081,6688.033373493964,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.13,-3223.928499999974,-13.917435999999897,56.77710843373494,128.0,124.5,80.63660477453581,3780.140947590376,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.14,-3471.9229999999725,-14.988007999999898,57.53012048192772,107.0,108.0,79.58115183246073,4702.645272289172,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.15,-3719.9174999999705,-16.058579999999882,57.831325301204814,108.5,106.0,80.46875,5546.806048192766,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.16,-3967.911999999968,-17.129151999999905,58.734939759036145,110.0,105.0,81.28205128205128,6440.366554216869,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.17,-4215.906499999966,-18.199723999999897,53.31325301204819,118.0,102.0,79.66101694915254,7352.342790963856,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.18,-4463.9009999999635,-19.27029599999989,56.024096385542165,114.0,99.5,81.18279569892472,8598.442933734947,4501.0
