flatten,portfolio,trades,win_rate,pf,gross,swap,net,per_trade,held_at_roll,maxDD,sharpe
20:00,ORIGINAL,5192,37.577041602465336,1.1825045546121276,10979.255000000041,0.0,10979.255000000041,2.11464849768876,0,-1314.940999999988,2.3119443337848984
20:00,TUNED,4501,34.68118195956454,1.1983164809955684,12054.772999999997,0.0,12054.772999999997,2.6782432792712725,0,-2118.009999999971,1.8701588064350845
21:00,ORIGINAL,5192,37.461479198767336,1.1920711916178472,11641.74800000003,0.0,11641.74800000003,2.2422473035439197,0,-1322.4689999999973,2.4264382543441534
21:00,TUNED,4501,34.392357253943565,1.2094139744180386,12879.772999999983,0.0,12879.772999999983,2.861535880915348,0,-2122.37499999998,1.978412737683026
21:50,ORIGINAL,5192,37.422958397534664,1.196823451008004,11919.888000000039,0.0,11919.888000000039,2.2958181818181895,0,-1361.6189999999915,2.475438914785757
21:50,TUNED,4501,34.32570539880027,1.2137938296807864,13137.806999999983,0.0,13137.806999999983,2.9188640302155036,0,-2050.4629999999725,1.9998943140233307
22:30,ORIGINAL,5192,37.30739599383667,1.1907827885918356,11927.836,-327.7824,11600.0536,2.2342167950693375,359,-1376.3809999999976,2.3982186376490193
22:30,TUNED,4501,34.03688069317929,1.205954021966582,13162.401999999955,-449.4336,12712.968399999956,2.8244764274605547,517,-2049.2349999999933,1.9360693996693619
23:57,ORIGINAL,5192,37.057010785824346,1.1986141927625211,12585.74300000002,-423.52639999999997,12162.216600000018,2.342491640986136,465,-1378.5393999999942,2.4753029546549015
23:57,TUNED,4501,33.41479671184182,1.2025413358631452,13386.626999999986,-628.5312,12758.095799999988,2.834502510553208,711,-2261.0069999999923,1.884446990211091
