lots,per10k,worst_close,worst_tr,best,std,maxdd_pct,maxdd,daily_used,dd_used,p1,pas,days,breach,payout1,npay,cash,cashmed,ecash,prefund,eff
0.1,0.01,-2204.859999999969,-3420.7499999999927,4331.319999999986,562.6354750073201,-6.316259999999979,-6316.259999999979,68.41499999999986,63.16259999999979,81.47590361445783,79.96987951807229,147.0,0.0,99.54819277108435,11.920180722891565,14563.947771084382,15583.833999999913,11646.771485611154,79.6085698214545,110.11372296414577
0.15,0.015,-3307.2899999999536,-5131.124999999989,6496.97999999998,843.9532125109803,-9.474389999999982,-9474.389999999983,102.62249999999977,94.74389999999983,80.72289156626506,75.30120481927712,117.0,37.65060240963856,96.53614457831326,12.487951807228916,17162.65675301205,16929.171000000017,12923.687314015096,72.69287995354914,147.45844825083466
0.2,0.02,-4409.719999999938,-6841.499999999985,8662.639999999972,1125.2709500146402,-12.632519999999959,-12632.519999999959,136.82999999999973,126.32519999999958,84.03614457831326,77.10843373493977,105.5,44.57831325301205,96.6867469879518,14.536144578313253,22386.61950602407,21776.948000000215,17261.97166729567,74.55363623167369,137.41036434896205
0.25,0.025,-5512.149999999923,-8551.874999999982,10828.299999999967,1406.5886875183005,-15.790649999999928,-15790.649999999929,171.03749999999965,157.90649999999928,86.8975903614458,78.91566265060241,94.0,57.37951807228916,95.78313253012048,16.25,27668.353192771094,27883.30000000026,21834.66426658442,75.5878937436493,131.82537378429376
0.3,0.03,-6614.579999999907,-10262.249999999978,12993.95999999996,1687.9064250219606,-18.948779999999964,-18948.779999999966,205.24499999999955,189.48779999999965,86.59638554216868,77.56024096385542,74.0,72.28915662650603,94.7289156626506,14.864457831325302,27337.118999999868,31487.0759999999,21202.735368975802,73.4719752503992,143.25133364784438
0.35,0.034999999999999996,-7717.009999999891,-11972.624999999973,15159.619999999952,1969.2241625256202,-22.106909999999893,-22106.90999999989,239.45249999999945,221.0690999999989,84.1867469879518,72.7409638554217,65.0,74.24698795180723,93.52409638554217,14.605421686746988,29923.757352409513,34758.29700000024,21766.829519900297,68.03032914791697,172.63622260124836
0.4,0.04,-8819.439999999877,-13682.99999999997,17325.279999999944,2250.5419000292804,-25.265039999999917,-25265.039999999917,273.65999999999946,252.65039999999917,80.57228915662651,70.93373493975903,58.0,74.69879518072288,90.96385542168674,13.566265060240964,29330.9249397588,26551.664000000055,20805.520552148188,64.52406009580491,191.57007548265346
