sessions,pass_pct,median_days,funded_cash_pct,funded_breach_pct,e_cash_pct,portfolio,extra_spread,lots
664,79.21686746987952,98.0,25.08499546987948,44.27710843373494,19.87154761619971,ORIGINAL,0.0,0.02
664,79.36746987951807,64.0,30.611493957831236,71.83734939759037,24.295568246652202,ORIGINAL,0.0,0.03
664,77.2590361445783,103.0,23.250150795180623,44.57831325301205,17.96284240651756,ORIGINAL,0.1,0.02
664,78.6144578313253,69.0,28.373368409638456,72.28915662650603,22.305569743721797,ORIGINAL,0.1,0.03
664,77.10843373493977,105.5,22.386619506024076,44.57831325301205,17.261971667295672,ORIGINAL,0.15,0.02
664,77.56024096385542,74.0,27.33711899999987,72.28915662650603,21.2027353689758,ORIGINAL,0.15,0.03
664,76.95783132530121,107.0,21.481273144578342,44.57831325301205,16.53152195313183,ORIGINAL,0.2,0.02
664,77.2590361445783,78.0,26.29854563855411,72.28915662650603,20.318002880388942,ORIGINAL,0.2,0.03
664,76.05421686746988,109.0,19.868203650602396,44.72891566265061,15.110606692099712,ORIGINAL,0.3,0.02
664,75.90361445783132,90.0,23.233932578313123,72.59036144578313,17.635394607635263,ORIGINAL,0.3,0.03
664,80.87349397590361,106.0,21.14178159036141,47.89156626506024,17.098097460879636,TUNED,0.0,0.02
664,74.09638554216868,72.0,24.928485831325215,62.80120481927711,18.471106971403625,TUNED,0.0,0.03
664,78.16265060240963,107.0,16.355086879518012,54.81927710843374,12.783569413358203,TUNED,0.1,0.02
664,72.43975903614458,76.0,22.238693783132472,63.102409638554214,16.10965618928723,TUNED,0.1,0.03
664,65.96385542168674,119.5,15.744787566265028,54.96987951807228,10.385868906662774,TUNED,0.15,0.02
664,71.98795180722891,83.0,21.281595126505977,63.102409638554214,15.320184443478698,TUNED,0.15,0.03
664,65.36144578313254,122.5,14.879783373493954,55.42168674698795,9.725641542313822,TUNED,0.2,0.02
664,70.93373493975903,87.0,20.280486054216794,63.55421686746988,14.385706222192935,TUNED,0.2,0.03
664,60.24096385542169,125.5,13.60435246987949,56.62650602409639,8.195393054144272,TUNED,0.3,0.02
664,65.51204819277109,95.0,18.05611008433729,72.13855421686746,11.828927540190847,TUNED,0.3,0.03
