date,rng_pct
2020-02,0.20091711125545947
2020-03,0.4713700757652902
2020-04,0.2816913816104249
2020-05,0.2079248972435561
2020-06,0.20253673192707075
2020-07,0.20187089344927037
2020-08,0.32141483808334587
2020-09,0.23953730380891977
2020-10,0.19142941027652183
2020-11,0.22196133016442765
2020-12,0.20681599112191276
2021-01,0.23352790666438408
2021-02,0.2255281848630528
2021-03,0.2156334437592366
2021-04,0.1730028424546708
2021-05,0.17856033958190648
2021-06,0.18784245029386287
2021-07,0.16935669334069173
2021-08,0.16977453584736152
2021-09,0.1685889417247043
2021-10,0.1735791032764266
2021-11,0.18322759653999726
2021-12,0.15117709744636396
2022-01,0.1582306577307278
2022-02,0.199157552596508
2022-03,0.2714189235502756
2022-04,0.20239615818362774
2022-05,0.2005191444781993
2022-06,0.1834410015269208
2022-07,0.1969896003178257
2022-08,0.16969007598864785
2022-09,0.20519138480927154
2022-10,0.21768322767497317
2022-11,0.19318953991219195
2022-12,0.17117220256022586
2023-01,0.18797447054096475
2023-02,0.18767585267876088
2023-03,0.20969367363422114
2023-04,0.18773439485758633
2023-05,0.17435732152685046
2023-06,0.15442755621345672
2023-07,0.14815725182466208
2023-08,0.1342242640815435
2023-09,0.12726366876337772
2023-10,0.17304915818407168
2023-11,0.14345108680735136
2023-12,0.16702499145901215
2024-01,0.15497292789341469
2024-02,0.12401390649771168
2024-03,0.17566487893985436
2024-04,0.2738812142523215
2024-05,0.23203708321180463
2024-06,0.21082951194001048
2024-07,0.20806275777465066
2024-08,0.2525580906203236
2024-09,0.19032864753632225
2024-10,0.19878419172643777
2024-11,0.2329102065260741
2024-12,0.19046574529973787
2025-01,0.1620191656676964
2025-02,0.22088650387104924
2025-03,0.1989680256380538
2025-04,0.4170697365429432
2025-05,0.36713060948198545
2025-06,0.27430030535105676
2025-07,0.1897948369029198
2025-08,0.19188470774196142
2025-09,0.24950083732101058
2025-10,0.4256141708662281
2025-11,0.3261741644361011
2025-12,0.2921123969436199
2026-01,0.3569094507199003
2026-02,0.4672198770883782
2026-03,0.5021815028704667
2026-04,0.3309168280337529
2026-05,0.30952637555859286
2026-06,0.34618238944776214
2026-07,0.28958549387790256
