replicate,candidate,windows,trades,days,win_rate,pf,net,per_trade,rr,maxDD,sharpe
rep2026_1,A_incumbent,8,1172,151,38.13993174061434,1.22446088053758,5640.775999999966,4.812948805460724,1.9859824125050236,-1293.5070000000233,3.2543699325064517
rep2026_1,B_top8,8,1150,151,39.130434782608695,1.542635225031006,12884.569000000003,11.203973043478266,2.399654794492676,-824.6149999999961,4.723610599940301
rep2026_1,G_r15_t1,8,1197,151,52.88220551378446,1.1866272656202494,2717.8649999999575,2.2705639097744004,1.0572792698417388,-587.756999999996,3.625145353923638
rep2026_1,G_r15_t2,8,1197,151,38.26232247284879,1.2894314319422127,5462.217999999933,4.563256474519577,2.0805454764307756,-768.0460000000094,4.858994782965984
rep2026_1,G_r15_t3,8,1197,151,31.161236424394318,1.3405329059738866,7086.263999999914,5.920020050125242,2.961391727942312,-1005.2339999999986,4.5693037045693226
rep2026_1,G_r30_t1,8,1188,151,54.292929292929294,1.2096396504310456,3818.803000000029,3.214480639730665,1.0183477987349734,-791.1170000000056,3.4291529929116904
rep2026_1,G_r30_t2,8,1188,151,39.225589225589225,1.1981995635593912,4791.678000000042,4.033398989899028,1.8564379504074684,-1041.0440000000144,3.2324787245164153
rep2026_1,G_r30_t3,8,1188,151,34.427609427609426,1.340528694601005,8725.867999999999,7.345006734006736,2.553231914655704,-1438.5810000000129,4.294618515783949
rep2026_1,G_r60_t1,8,1147,151,52.04882301656495,1.1619233347288787,3732.260000000021,3.2539319965126614,1.0704486333348129,-1281.51300000001,2.7720839673802167
rep2026_1,G_r60_t2,8,1147,151,41.06364428945074,1.3624716369014684,9803.940000000079,8.547462946817857,1.9554794618798144,-1204.515000000014,4.525550704028944
rep2026_1,G_r60_t3,8,1147,151,37.83783783783784,1.4231899831060244,12029.893000000095,10.488136878814384,2.3380978293884684,-1479.630000000012,4.6124732373980715
rep2026_2,A_incumbent,8,1175,152,35.57446808510638,1.2986161226299453,8654.031999999985,7.365133617021265,2.351800011557102,-763.2609999999986,4.208807911202832
rep2026_2,B_top8,8,1158,152,42.05526770293609,1.8065509154530113,21913.05600000004,18.923191709844595,2.489108140182691,-861.3220000000001,6.119180400010114
rep2026_2,G_r15_t1,8,1206,152,50.99502487562189,1.099015606491931,1772.7269999999578,1.4699228855721052,1.0561271925800506,-532.1059999999961,1.781845478893487
rep2026_2,G_r15_t2,8,1206,152,37.893864013267,1.2950198009528393,6516.6439999999175,5.40351907131005,2.122472277710452,-325.387999999999,4.59952840156572
rep2026_2,G_r15_t3,8,1206,152,31.8407960199005,1.4417514225015757,10473.999999999924,8.684908789386341,3.0862491387924353,-445.96000000001004,5.90481718642738
rep2026_2,G_r30_t1,8,1193,152,53.64626990779547,1.1717573345990777,3734.0059999999567,3.1299295892707106,1.0124715719270156,-1197.7500000000164,2.7067386349657805
rep2026_2,G_r30_t2,8,1193,152,40.31852472757754,1.338678508300193,9177.073999999944,7.692434199497021,1.9815781661325105,-1006.4240000000063,4.683340540482051
rep2026_2,G_r30_t3,8,1193,152,35.03772003352892,1.5195514205805163,14837.244000000013,12.436918692372183,2.8173501218897132,-675.7399999999961,5.81628104862894
rep2026_2,G_r60_t1,8,1143,152,51.96850393700787,1.1362071421651692,3574.0369999999443,3.126891513560758,1.0501308435162926,-852.5590000000084,2.377108885028601
rep2026_2,G_r60_t2,8,1143,152,40.85739282589677,1.3406763595359046,10404.950999999977,9.103194225721767,1.940679269906363,-902.1580000000013,4.31959254472929
rep2026_2,G_r60_t3,8,1143,152,37.09536307961505,1.4236362065975416,13645.21799999999,11.938073490813643,2.4141378126029065,-882.8820000000142,5.102165650775184
rep2026_3,A_incumbent,8,1191,152,35.936188077246015,1.1079839999392747,2901.9510000000714,2.436566750629785,1.9752144671814642,-1401.9159999999974,1.7756023248915946
rep2026_3,B_top8,8,1180,152,36.94915254237288,1.3238565584909432,8356.486000000052,7.081767796610215,2.259057980544178,-1524.8879999999917,3.5207333193621633
rep2026_3,G_r15_t1,8,1216,152,51.398026315789465,1.0750839659830058,1189.5569999999789,0.9782541118420888,1.0165993982335304,-1496.883000000009,1.4027333119161403
rep2026_3,G_r15_t2,8,1216,152,37.58223684210527,1.1960574781458488,3910.087999999978,3.2155328947368256,1.9864499472925583,-1153.7080000000078,3.495665977644219
rep2026_3,G_r15_t3,8,1216,152,30.592105263157894,1.2294654156922782,4990.280999999974,4.1038495065789276,2.789432287215814,-998.2079999999878,3.6427967335880402
rep2026_3,G_r30_t1,8,1211,152,55.24360033030553,1.2049745987405487,3832.0279999999852,3.1643501238645637,0.9762275523428661,-736.4689999999955,3.5091475990610697
rep2026_3,G_r30_t2,8,1211,152,39.30635838150289,1.1890540899732271,4645.234999999957,3.835867052023088,1.8360394036351302,-1055.3260000000191,2.9995310473513874
rep2026_3,G_r30_t3,8,1211,152,34.18662262592898,1.2693581183499885,7029.83099999997,5.804980181668021,2.4436676819443015,-1102.547000000006,3.602706030960498
rep2026_3,G_r60_t1,8,1173,152,48.84910485933504,0.9901612852453944,-260.0439999999831,-0.22169138959930101,1.0368180997333973,-1738.3680000000022,-0.18814342449912175
rep2026_3,G_r60_t2,8,1173,152,36.828644501278774,1.0818563069210383,2544.580000000056,2.169292412617272,1.855684082010392,-2288.8219999999783,1.2284844920746045
rep2026_3,G_r60_t3,8,1173,152,33.75959079283887,1.096042056386463,3087.056000000094,2.6317612958227605,2.150567368212833,-2096.044999999962,1.364577034709955
rep2026_4,A_incumbent,8,1184,152,36.317567567567565,1.1079306717611246,2902.522999999921,2.4514552364864226,1.942743550018344,-2027.5090000000146,1.791909549764759
rep2026_4,B_top8,8,1160,152,41.37931034482759,1.5904197354308174,14036.933999999954,12.100805172413757,2.253094625193658,-548.0679999999993,6.1842866951853726
rep2026_4,G_r15_t1,8,1209,152,51.53019023986766,1.1058966381538105,1689.4720000000166,1.3974127377998493,1.040217383560406,-727.6440000000075,2.034496812838802
rep2026_4,G_r15_t2,8,1209,152,38.37882547559967,1.2386638773847598,4758.078000000063,3.9355483870968277,1.9888029927837199,-923.2869999999766,4.4309266502684945
rep2026_4,G_r15_t3,8,1209,152,32.00992555831266,1.2796188936511348,6120.727000000001,5.0626360628618725,2.71795020822024,-1051.418999999989,4.357210483027566
rep2026_4,G_r30_t1,8,1199,152,53.544620517097584,1.146253077703944,2843.726999999997,2.3717489574645527,0.9944905985686867,-552.5760000000209,2.8008898738587047
rep2026_4,G_r30_t2,8,1199,152,39.6163469557965,1.1717299912362873,4256.943999999934,3.550412010008288,1.785963186642257,-713.0380000000223,3.067747671557727
rep2026_4,G_r30_t3,8,1199,152,34.94578815679733,1.2781742106597487,7290.863999999868,6.080787322768867,2.379417384999055,-619.5890000000145,4.347059473179001
rep2026_4,G_r60_t1,8,1159,152,51.423641069887836,1.1136153885859346,2782.2099999999227,2.4005263157894094,1.051955476130673,-808.8640000000032,1.8307677809059755
rep2026_4,G_r60_t2,8,1159,152,39.94823123382226,1.2430989992181836,7042.225999999907,6.076122519413211,1.8686758173992561,-974.5570000000043,3.4573225806227885
rep2026_4,G_r60_t3,8,1159,152,36.2381363244176,1.2602983913761623,7928.966999999896,6.841213977566782,2.2175250267309137,-1074.6670000000086,3.456610789813474
rep2026_5,A_incumbent,8,1175,152,38.12765957446808,1.2418860148728141,6209.064999999973,5.284310638297852,2.015292707170839,-1250.017000000007,3.3873567782671548
rep2026_5,B_top8,8,1151,152,39.61772371850565,1.5430189321640162,13260.108000000027,11.52051086012166,2.3517503461710336,-728.5529999999962,5.213185635961812
rep2026_5,G_r15_t1,8,1208,152,49.420529801324506,1.0174282258745986,294.29899999994825,0.24362499999995796,1.0412875142535674,-927.5830000000187,0.2915650504649622
