hour,net,trades,per_trade,net_H1,net_H2,both_halves
0,14496.437999999791,1326,10.932457013574503,6302.61999999981,8193.817999999981,True
1,5877.944000000007,1272,4.62102515723271,5101.167999999978,776.7760000000293,True
2,8507.395000000077,1332,6.386933183183241,4261.0910000000895,4246.303999999987,True
3,-3639.7909999999865,1338,-2.7203221225709915,-4047.5650000000132,407.77400000002706,False
4,1187.1000000000524,1344,0.8832589285714676,-578.9739999999896,1766.074000000042,False
5,9199.435999999978,1332,6.906483483483467,9374.298000000046,-174.8620000000679,False
6,2501.2050000001927,1323,1.8905555555557012,1776.8050000001456,724.4000000000473,True
7,-335.42399999978784,1332,-0.25181981981966056,1033.976000000084,-1369.3999999998719,False
8,4928.432999999961,1344,3.6669888392856853,5681.699999999935,-753.2669999999747,False
9,-2668.9349999999977,1332,-2.0037049549549533,-846.8149999999879,-1822.1200000000094,False
10,-5190.969999999957,1344,-3.8623288690475865,-2245.4719999999834,-2945.4979999999728,False
11,-3239.820999999986,1332,-2.4322980480480374,-5355.480999999967,2115.659999999981,False
12,-2781.4170000000036,1335,-2.083458426966295,516.2770000000583,-3297.694000000062,False
13,-4301.768999999947,1314,-3.2737968036529272,-1506.841999999977,-2794.9269999999697,False
14,6533.924999999959,1311,4.983924485125827,4792.854999999958,1741.0700000000018,True
15,6085.674000000015,1305,4.663351724137943,2558.138999999964,3527.535000000051,True
16,2287.068000000172,1299,1.7606374133950518,651.0390000001199,1636.0290000000523,True
17,-152.20699999992718,1302,-0.11690245775724054,-428.0639999999097,275.8569999999825,False
18,6556.23199999996,1275,5.142142745098008,3912.9709999999336,2643.2610000000263,True
19,689.5940000001444,1281,0.5383247462920722,-554.6939999998726,1244.288000000017,False
20,1220.5609999999588,1218,1.0021026272577658,1498.8069999999811,-278.24600000002226,False
21,2584.6009999999346,363,7.120112947658222,2584.6009999999346,,False
22,-1840.1769999999851,687,-2.6785691411935737,-862.6029999999643,-977.5740000000209,False
23,707.1759999999838,633,1.1171816745655352,388.5360000000264,318.6399999999574,True
