candidate,windows,trades,days,win_rate,pf,net,per_trade,rr,maxDD,sharpe
A_incumbent,8,1167,150,36.67523564695801,1.1710662286012534,4597.584000000023,3.939660668380483,2.0220045395708555,-940.5019999999968,2.5562672669864304
B_top8,8,1149,150,39.77371627502176,1.546560992005226,13945.870999999957,12.137398607484734,2.341838526187344,-786.4470000000201,4.914000365464131
C_stable,8,1138,150,42.618629173989454,1.4834071518843917,11954.990000000027,10.505263620386668,1.997247155011356,-835.3060000000023,4.44475500785469
D_pruned,7,1018,150,37.91748526522593,1.263839669246369,5946.8290000000015,5.841678781925349,2.069291893688355,-1000.2099999999846,3.3464035517280077
