portfolio,period,windows,trades,days,win_rate,pf,net,per_trade,rr,maxDD,sharpe
picked_on_H1,H1 Jan-Apr (in-sample),8,639,84,40.845070422535215,1.6311579055289418,10416.186999999958,16.30076212832545,2.362366621800536,-786.4470000000201,5.329845194965798
picked_on_H1,H2 May-Jul (OUT of sample),8,510,66,38.43137254901961,1.3916486377507191,3529.6839999999956,6.920949019607836,2.2294779196618664,-597.6079999999893,4.920018131761312
A_incumbent,H1 Jan-Apr (in-sample),8,645,84,35.968992248062015,1.1734594321733227,2979.5680000000234,4.619485271317868,2.088960109860268,-908.6539999999786,2.5543036615435186
A_incumbent,H2 May-Jul (OUT of sample),8,522,66,37.547892720306514,1.166827649976368,1618.0159999999983,3.099647509578543,1.940743948430081,-940.5019999999986,2.690167505432372
B_top8 (saw all 2026),H1 Jan-Apr (in-sample),8,639,84,40.845070422535215,1.6311579055289418,10416.186999999958,16.30076212832545,2.362366621800536,-786.4470000000201,5.329845194965798
B_top8 (saw all 2026),H2 May-Jul (OUT of sample),8,510,66,38.43137254901961,1.3916486377507191,3529.6839999999956,6.920949019607836,2.2294779196618664,-597.6079999999893,4.920018131761312
