,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL
,none,none,none,real,real,real,fomc_wed,fomc_wed,fomc_wed,fomc_all,fomc_all,fomc_all,am_all,am_all,am_all,all_all,all_all,all_all,none,none,none,real,real,real,fomc_wed,fomc_wed,fomc_wed,fomc_all,fomc_all,fomc_all,am_all,am_all,am_all,all_all,all_all,all_all
,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades
xt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-15,-898.599999999964,-1143.449999999977,7.0,-898.599999999964,-1143.449999999977,7.0,-898.599999999964,-1143.449999999977,7.0,-815.399999999976,-1143.449999999977,7.0,-709.8499999999367,-709.8499999999367,7.0,-709.8499999999367,-709.8499999999367,7.0,45.10000000013315,-489.44999999993524,8.0,45.10000000013315,-489.44999999993524,8.0,45.10000000013315,-489.44999999993524,8.0,128.30000000012114,-489.44999999993524,8.0,-65.49999999988904,-355.19999999994434,8.0,-65.49999999988904,-355.19999999994434,8.0
2024-01-16,2162.7500000000064,-819.6000000000167,7.0,2162.7500000000064,-819.6000000000167,7.0,2162.7500000000064,-819.6000000000167,7.0,2517.8499999999995,-819.6000000000167,7.0,2162.7500000000064,-819.6000000000167,7.0,2517.8499999999995,-819.6000000000167,7.0,-637.0999999999858,-637.0999999999858,7.0,-637.0999999999858,-637.0999999999858,7.0,-637.0999999999858,-637.0999999999858,7.0,-637.0999999999858,-637.0999999999858,7.0,-637.0999999999858,-637.0999999999858,7.0,-637.0999999999858,-637.0999999999858,7.0
2024-01-17,364.8500000000704,-1939.199999999969,7.0,364.8500000000704,-1939.199999999969,7.0,619.6500000000706,-1939.199999999969,7.0,619.6500000000706,-1939.199999999969,7.0,-486.4499999999671,-1609.6499999999678,7.0,-231.6499999999669,-1609.6499999999678,7.0,2193.50000000008,-326.6999999999298,8.0,2193.50000000008,-326.6999999999298,8.0,2448.30000000008,-326.6999999999298,8.0,2448.30000000008,-326.6999999999298,8.0,1330.0000000000646,-320.64999999997417,7.0,1584.8000000000648,-320.64999999997417,7.0
2024-01-18,440.7000000000162,-1573.599999999974,7.0,440.7000000000162,-1573.599999999974,7.0,440.7000000000162,-1573.599999999974,7.0,209.20000000003347,-1573.599999999974,7.0,-385.5999999999758,-1573.599999999974,7.0,-617.0999999999585,-1573.599999999974,7.0,532.350000000014,-639.8000000000002,8.0,532.350000000014,-639.8000000000002,8.0,532.350000000014,-639.8000000000002,8.0,425.50000000000546,-639.8000000000002,8.0,528.5000000000255,-639.8000000000002,8.0,421.6500000000169,-639.8000000000002,8.0
2024-01-19,145.59999999999127,-1000.4500000000262,7.0,145.59999999999127,-1000.4500000000262,7.0,145.59999999999127,-1000.4500000000262,7.0,358.09999999999127,-1000.4500000000262,7.0,145.59999999999127,-1000.4500000000262,7.0,358.09999999999127,-1000.4500000000262,7.0,400.5500000000611,-591.9500000000289,8.0,400.5500000000611,-591.9500000000289,8.0,400.5500000000611,-591.9500000000289,8.0,400.5500000000611,-591.9500000000289,8.0,1235.1500000000615,-591.9500000000289,8.0,1447.6500000000615,-591.9500000000289,8.0
2024-01-22,-250.50000000007822,-974.6500000000287,7.0,-250.50000000007822,-974.6500000000287,7.0,-250.50000000007822,-974.6500000000287,7.0,-280.8000000000666,-974.6500000000287,7.0,-1060.0500000000457,-1060.0500000000457,7.0,-1090.350000000034,-1090.350000000034,7.0,1378.5499999999674,0.0,8.0,1378.5499999999674,0.0,8.0,1378.5499999999674,0.0,8.0,1408.8499999999785,0.0,8.0,281.0999999999931,0.0,7.0,281.0999999999931,0.0,7.0
2024-01-23,1252.2499999998681,-238.10000000001492,7.0,1252.2499999998681,-238.10000000001492,7.0,1252.2499999998681,-238.10000000001492,7.0,896.3499999998712,-238.10000000001492,7.0,1252.2499999998681,-238.10000000001492,7.0,896.3499999998712,-238.10000000001492,7.0,-317.30000000007385,-317.30000000007385,8.0,-317.30000000007385,-317.30000000007385,8.0,-317.30000000007385,-317.30000000007385,8.0,177.84999999993852,-136.950000000008,8.0,-317.30000000007385,-317.30000000007385,8.0,177.84999999993852,-136.950000000008,8.0
2024-01-24,393.2000000000253,-1049.250000000009,7.0,393.2000000000253,-1049.250000000009,7.0,187.10000000001037,-1049.250000000009,7.0,187.10000000001037,-1049.250000000009,7.0,1329.350000000023,-1049.250000000009,7.0,1123.2500000000082,-1049.250000000009,7.0,-106.44999999997799,-437.1499999999769,8.0,-106.44999999997799,-437.1499999999769,8.0,-106.44999999997799,-437.1499999999769,8.0,-106.44999999997799,-437.1499999999769,8.0,2573.1000000001304,-437.1499999999769,8.0,2573.1000000001304,-437.1499999999769,8.0
2024-01-25,-1205.650000000007,-1205.650000000007,6.0,-1205.650000000007,-1205.650000000007,6.0,-1205.650000000007,-1205.650000000007,6.0,-740.5500000000002,-1007.9000000000042,6.0,-1205.650000000007,-1205.650000000007,6.0,-740.5500000000002,-1007.9000000000042,6.0,-1197.7500000000218,-1197.7500000000218,4.0,-1197.7500000000218,-1197.7500000000218,4.0,-1197.7500000000218,-1197.7500000000218,4.0,-1197.7500000000218,-1197.7500000000218,4.0,-1197.7500000000218,-1197.7500000000218,4.0,-1197.7500000000218,-1197.7500000000218,4.0
2024-01-26,-1365.849999999954,-1394.1999999999707,7.0,-1365.849999999954,-1394.1999999999707,7.0,-1365.849999999954,-1394.1999999999707,7.0,-1188.1499999999496,-1394.1999999999707,7.0,-1365.849999999954,-1394.1999999999707,7.0,-1188.1499999999496,-1394.1999999999707,7.0,-877.99999999998,-1477.9999999999964,8.0,-877.99999999998,-1477.9999999999964,8.0,-877.99999999998,-1477.9999999999964,8.0,-877.99999999998,-1477.9999999999964,8.0,-569.2999999999975,-1169.3000000000138,7.0,-569.2999999999975,-1169.3000000000138,7.0
