geo,lots,worst,maxDD,pass_pct,d_pass,d_res,breach,Ecash,trades
shipped  r60 t3 s1.0,0.01,-247.994499999998,-1.070571999999994,0.0,,250.0,0.0,0.0,4501.0
shipped  r60 t3 s1.0,0.02,-495.988999999996,-2.141143999999988,0.0,,250.0,0.0,0.0,4501.0
shipped  r60 t3 s1.0,0.03,-743.983499999994,-3.2117159999999805,0.0,,250.0,0.0,0.0,4501.0
shipped  r60 t3 s1.0,0.04,-991.977999999992,-4.282287999999976,16.867469879518072,177.5,250.0,0.0,208.36919518072193,4501.0
shipped  r60 t3 s1.0,0.05,-1239.97249999999,-5.352859999999965,27.86144578313253,163.0,250.0,0.0,1036.584144578311,4501.0
shipped  r60 t3 s1.0,0.06,-1487.966999999988,-6.423431999999961,41.1144578313253,167.0,238.5,0.0,2978.7361915662505,4501.0
shipped  r60 t3 s1.0,0.07,-1735.9614999999862,-7.494003999999949,44.57831325301205,147.0,228.0,0.0,4422.111045783109,4501.0
shipped  r60 t3 s1.0,0.08,-1983.955999999984,-8.564575999999953,49.6987951807229,149.5,221.5,0.0,6232.921281927678,4501.0
shipped  r60 t3 s1.0,0.09,-2231.9504999999817,-9.635147999999946,57.37951807228916,165.0,200.0,0.0,9689.929324698758,4501.0
shipped  r60 t3 s1.0,0.1,-2479.94499999998,-10.70571999999993,60.8433734939759,160.0,178.0,38.11881188118812,6537.659018072257,4501.0
shipped  r60 t3 s1.0,0.11,-2727.939499999978,-11.776291999999913,63.55421686746988,165.0,167.5,50.71090047393365,6568.446632530095,4501.0
shipped  r60 t3 s1.0,0.12,-2975.933999999976,-12.846863999999922,59.63855421686747,152.0,154.0,55.80808080808081,6688.033373493964,4501.0
shipped  r60 t3 s1.0,0.13,-3223.928499999974,-13.917435999999897,56.77710843373494,128.0,124.5,80.63660477453581,3780.140947590376,4501.0
shipped  r60 t3 s1.0,0.14,-3471.9229999999725,-14.988007999999898,57.53012048192772,107.0,108.0,79.58115183246073,4702.645272289172,4501.0
shipped  r60 t3 s1.0,0.15,-3719.9174999999705,-16.058579999999882,57.831325301204814,108.5,106.0,80.46875,5546.806048192766,4501.0
shipped  r60 t3 s1.0,0.16,-3967.911999999968,-17.129151999999905,58.734939759036145,110.0,105.0,81.28205128205128,6440.366554216869,4501.0
shipped  r60 t3 s1.0,0.17,-4215.906499999966,-18.199723999999897,53.31325301204819,118.0,102.0,79.66101694915254,7352.342790963856,4501.0
shipped  r60 t3 s1.0,0.18,-4463.9009999999635,-19.27029599999989,56.024096385542165,114.0,99.5,81.18279569892472,8598.442933734947,4501.0
shipped  r60 t3 s1.0,0.19,-4711.895499999962,-20.34086799999987,58.43373493975904,114.0,95.0,81.70103092783505,5917.770857831319,4501.0
shipped  r60 t3 s1.0,0.2,-4959.88999999996,-21.41143999999986,62.34939759036144,113.0,90.5,82.85024154589372,6885.226674698753,4501.0
shipped  r60 t3 s1.0,0.21,-5207.884499999957,-22.482011999999845,76.05421686746988,108.0,78.0,87.12871287128714,7782.280496385508,4501.0
shipped  r60 t3 s1.0,0.22,-5455.878999999956,-23.552583999999825,76.95783132530121,105.0,76.0,87.08414872798434,8950.786197590312,4501.0
shipped  r60 t3 s1.0,0.23,-5703.873499999954,-24.623155999999845,76.95783132530121,104.0,73.5,87.47553816046967,9609.720905421633,4501.0
shipped  r60 t3 s1.0,0.24,-5951.867999999952,-25.693727999999844,76.50602409638554,102.5,72.0,87.4015748031496,10297.06740722889,4501.0
shipped  r60 t3 s1.0,0.25,-6199.862499999951,-26.764299999999828,75.30120481927712,103.0,70.5,87.2,10835.498358433666,4501.0
shipped  r60 t3 s1.0,0.26,-6447.856999999948,-27.834871999999795,73.64457831325302,101.0,69.0,86.9120654396728,11359.642630120432,4501.0
shipped  r60 t3 s1.0,0.27,-6695.851499999945,-28.905443999999815,72.28915662650603,97.0,61.5,96.04166666666667,11275.105158433676,4501.0
shipped  r60 t3 s1.0,0.28,-6943.845999999945,-29.976015999999795,71.08433734939759,92.5,57.5,95.76271186440678,11902.797925301154,4501.0
shipped  r60 t3 s1.0,0.29,-7191.840499999942,-31.046587999999776,70.93373493975903,87.0,50.5,94.69214437367303,12495.71735722887,4501.0
shipped  r60 t3 s1.0,0.3,-7439.834999999941,-32.117159999999764,71.08433734939759,84.0,45.0,93.4322033898305,13051.507897590347,4501.0
shipped  r60 t3 s1.0,0.31,-7687.829499999937,-33.187731999999805,70.63253012048193,78.0,44.0,91.68443496801706,13558.473678915634,4501.0
shipped  r60 t3 s1.0,0.32,-7935.823999999936,-34.25830399999981,69.87951807228916,77.5,43.5,91.16379310344827,13959.82548433728,4501.0
shipped  r60 t3 s1.0,0.33,-8183.818499999934,-35.32887599999976,69.12650602409639,74.0,42.5,89.32461873638344,14359.966758433686,4501.0
shipped  r60 t3 s1.0,0.34,-8431.812999999933,-36.39944799999979,69.42771084337349,72.0,38.0,88.72017353579176,14911.553768674607,4501.0
shipped  r60 t3 s1.0,0.35,-8679.80749999993,-37.47001999999976,68.52409638554217,70.0,36.5,97.14285714285714,11450.19958734934,4501.0
shipped  r60 t3 s1.0,0.36,-8927.801999999927,-38.54059199999978,67.92168674698796,68.0,35.5,96.89578713968959,11634.691250602351,4501.0
shipped  r60 t3 s1.0,0.37,-9175.796499999926,-39.61116399999973,65.51204819277109,69.0,34.0,97.93103448275862,11455.511669277052,4501.0
shipped  r60 t3 s1.0,0.38,-9423.790999999925,-40.68173599999974,65.21084337349397,68.0,32.0,97.92147806004618,11900.728289156552,4501.0
shipped  r60 t3 s1.0,0.39,-9671.785499999922,-41.752307999999715,64.90963855421687,66.0,31.0,97.91183294663574,12392.482143975825,4501.0
shipped  r60 t3 s1.0,0.4,-9919.77999999992,-42.82287999999972,63.25301204819277,67.5,30.0,99.76190476190476,12549.60274698787,4501.0
best-rdd r30 t5 s1.0,0.01,-182.6270000000007,-0.5946744999999989,0.0,,250.0,0.0,0.0,4559.0
best-rdd r30 t5 s1.0,0.02,-365.2540000000014,-1.1893489999999978,0.0,,250.0,0.0,0.0,4559.0
best-rdd r30 t5 s1.0,0.03,-547.881000000002,-1.7840235000000009,16.114457831325304,198.0,250.0,0.0,154.3886963855363,4559.0
best-rdd r30 t5 s1.0,0.04,-730.5080000000028,-2.3786979999999955,29.367469879518072,159.0,250.0,0.0,1321.7163638553993,4559.0
best-rdd r30 t5 s1.0,0.05,-913.1350000000034,-2.973372499999996,39.60843373493976,176.0,226.0,0.0,3358.296900602397,4559.0
best-rdd r30 t5 s1.0,0.06,-1095.762000000004,-3.5680470000000017,44.27710843373494,123.5,211.5,0.0,5324.823166265074,4559.0
best-rdd r30 t5 s1.0,0.07,-1278.389000000005,-4.162721499999996,47.74096385542169,114.0,203.5,0.0,7473.0082253012,4559.0
best-rdd r30 t5 s1.0,0.08,-1461.0160000000055,-4.757395999999991,58.13253012048193,133.5,182.5,0.0,11925.164824096379,4559.0
best-rdd r30 t5 s1.0,0.09,-1643.6430000000062,-5.352070499999995,73.19277108433735,155.0,164.0,0.0,18892.683824096446,4559.0
best-rdd r30 t5 s1.0,0.1,-1826.2700000000068,-5.946744999999992,73.64457831325302,148.0,155.5,0.0,22008.89277710853,4559.0
best-rdd r30 t5 s1.0,0.11,-2008.8970000000077,-6.541419499999998,75.0,139.0,143.0,0.0,24987.800889156722,4559.0
best-rdd r30 t5 s1.0,0.12,-2191.524000000008,-7.1360940000000035,76.6566265060241,125.0,133.0,0.0,27128.06433975916,4559.0
best-rdd r30 t5 s1.0,0.13,-2374.151000000009,-7.730768499999996,79.96987951807229,117.0,125.0,0.0,30041.728928915785,4559.0
best-rdd r30 t5 s1.0,0.14,-2556.77800000001,-8.325442999999993,80.87349397590361,111.0,117.5,0.0,32871.3001180724,4559.0
best-rdd r30 t5 s1.0,0.15,-2739.40500000001,-8.920117499999986,81.32530120481928,107.0,115.0,0.0,35691.923006024226,4559.0
best-rdd r30 t5 s1.0,0.16,-2922.032000000011,-9.514791999999982,82.98192771084338,97.0,100.0,65.51724137931035,17183.3737253013,4559.0
best-rdd r30 t5 s1.0,0.17,-3104.659000000012,-10.109466500000003,86.29518072289156,98.0,95.5,68.06282722513089,18921.852396385646,4559.0
best-rdd r30 t5 s1.0,0.18,-3287.2860000000123,-10.70414099999999,88.70481927710844,99.0,92.5,69.94906621392191,15912.449414457822,4559.0
best-rdd r30 t5 s1.0,0.19,-3469.913000000013,-11.298815499999975,91.41566265060241,95.0,82.0,73.14662273476112,16354.446363855397,4559.0
best-rdd r30 t5 s1.0,0.2,-3652.5400000000136,-11.893489999999984,81.17469879518072,103.0,77.0,82.74582560296847,11046.079566265053,4559.0
best-rdd r30 t5 s1.0,0.21,-3835.1670000000145,-12.488164499999993,81.02409638554217,99.5,76.0,82.5278810408922,12010.343277108426,4559.0
best-rdd r30 t5 s1.0,0.22,-4017.7940000000153,-13.082838999999996,80.57228915662651,95.0,73.0,82.80373831775701,12748.585472289187,4559.0
best-rdd r30 t5 s1.0,0.23,-4200.421000000016,-13.677513500000005,79.51807228915662,94.5,67.0,82.1969696969697,13706.048851807254,4559.0
best-rdd r30 t5 s1.0,0.24,-4383.048000000016,-14.272188000000007,79.96987951807229,89.0,66.0,81.92090395480226,14606.443604819267,4559.0
best-rdd r30 t5 s1.0,0.25,-4565.6750000000175,-14.86686249999999,79.81927710843374,87.5,64.0,82.0754716981132,15413.266280120522,4559.0
best-rdd r30 t5 s1.0,0.26,-4748.302000000018,-15.461536999999993,79.06626506024097,85.0,62.5,82.0952380952381,16500.35824457836,4559.0
best-rdd r30 t5 s1.0,0.27,-4930.929000000018,-16.05621149999997,73.79518072289156,94.0,58.0,87.55102040816325,14912.26759518078,4559.0
best-rdd r30 t5 s1.0,0.28,-5113.55600000002,-16.650885999999986,72.89156626506023,91.5,57.0,87.19008264462809,15058.518173494025,4559.0
best-rdd r30 t5 s1.0,0.29,-5296.18300000002,-17.245560499999968,73.19277108433735,87.0,55.5,87.03703703703704,15924.661337349427,4559.0
best-rdd r30 t5 s1.0,0.3,-5478.81000000002,-17.84023499999997,73.04216867469879,81.0,45.5,86.80412371134021,16729.559981927745,4559.0
best-rdd r30 t5 s1.0,0.31,-5661.437000000022,-18.434909499999996,72.13855421686746,79.0,41.0,93.31941544885177,16158.552776506074,4559.0
best-rdd r30 t5 s1.0,0.32,-5844.064000000022,-19.029583999999964,70.78313253012048,79.5,41.0,92.76595744680851,16741.976308433812,4559.0
best-rdd r30 t5 s1.0,0.33,-6026.691000000023,-19.624258500000014,69.12650602409639,80.0,39.0,91.93899782135077,17465.615643976,4559.0
best-rdd r30 t5 s1.0,0.34,-6209.318000000024,-20.218933000000007,68.82530120481928,75.0,35.0,91.2472647702407,18057.72633855433,4559.0
best-rdd r30 t5 s1.0,0.35,-6391.945000000024,-20.813607499999964,68.67469879518072,72.5,34.5,90.5701754385965,18772.485680723024,4559.0
best-rdd r30 t5 s1.0,0.36,-6574.572000000025,-21.40828199999998,67.7710843373494,66.0,32.5,89.77777777777777,19520.18737590374,4559.0
best-rdd r30 t5 s1.0,0.37,-6757.199000000026,-22.002956500000025,67.16867469879519,64.5,32.0,91.4798206278027,19782.237652409767,4559.0
best-rdd r30 t5 s1.0,0.38,-6939.826000000026,-22.59763099999995,52.108433734939766,81.0,29.0,95.66473988439307,5776.263024096524,4559.0
best-rdd r30 t5 s1.0,0.39,-7122.453000000027,-23.19230550000001,53.765060240963855,62.0,27.0,95.7983193277311,6070.1180674700345,4559.0
best-rdd r30 t5 s1.0,0.4,-7305.080000000027,-23.786979999999968,53.01204819277109,55.0,27.0,95.45454545454545,6231.317783132684,4559.0
runner   r30 t4 s1.0,0.01,-182.6270000000007,-0.6139214999999958,0.0,,250.0,0.0,0.0,4559.0
runner   r30 t4 s1.0,0.02,-365.2540000000014,-1.2278429999999916,0.0,,250.0,0.0,0.0,4559.0
runner   r30 t4 s1.0,0.03,-547.881000000002,-1.8417644999999898,16.114457831325304,198.0,250.0,0.0,139.05777831324977,4559.0
