lots,halt,maxdd,dd_used,worst,pas,dpass,dres,breach,ecash
0.08,none,-5.053007999999981,0.5053007999999981,-2736.599999999994,65.8132530120482,188.0,178.5,0.0,7633.298153374956
0.1,none,-6.316259999999979,0.6316259999999979,-3420.7499999999927,79.96987951807229,147.0,142.0,0.0,11646.771485611154
0.12,none,-7.579511999999972,0.7579511999999972,-4104.899999999991,86.29518072289156,134.0,122.0,0.0,15309.328686297038
0.14,none,-8.842763999999963,0.8842763999999964,-4789.04999999999,86.8975903614458,112.0,99.0,29.518072289156628,15068.987188345522
0.16,none,-10.106015999999961,1.0106015999999962,-5473.199999999988,76.6566265060241,112.0,81.0,43.373493975903614,14036.566529496278
0.18,none,-11.369267999999987,1.1369267999999988,-6157.349999999987,76.95783132530121,109.0,76.5,44.27710843373494,15705.024811892097
0.2,none,-12.632519999999959,1.2632519999999958,-6841.499999999985,77.10843373493977,105.5,74.0,44.57831325301205,17261.97166729567
0.08,4.8%,-5.053007999999981,0.5053007999999981,-2736.599999999994,65.8132530120482,188.0,178.5,0.0,7633.298153374956
0.1,4.8%,-6.316259999999979,0.6316259999999979,-3420.7499999999927,79.96987951807229,147.0,142.0,0.0,11646.771485611154
0.12,4.8%,-7.579511999999972,0.7579511999999972,-4104.899999999991,86.29518072289156,134.0,122.0,0.0,15309.328686297038
0.14,4.8%,-8.842763999999963,0.8842763999999964,-4789.04999999999,86.8975903614458,112.0,99.0,29.518072289156628,15068.987188345522
0.16,4.8%,-10.106015999999961,1.0106015999999962,-4800.0,85.09036144578313,106.0,87.0,42.92168674698795,15662.093022499617
0.18,4.8%,-14.482094999999918,1.4482094999999917,-4800.0,83.13253012048193,102.5,81.0,43.52409638554217,17105.26517532293
0.2,4.8%,-15.024549999999836,1.5024549999999837,-4800.0,82.53012048192771,98.5,80.0,44.42771084337349,18512.356710770775
