portfolio,scenario,lots_per_10k,trades,sessions,pass_pct,median_days,funded_cash_pct,funded_breach_pct,e_cash_pct
TUNED,none,0.02,4501,664,80.87349397590361,106.0,20.51653757831322,47.74096385542169,16.592440782461143
TUNED,real,0.02,4501,664,79.51807228915662,107.0,21.141781590361408,47.89156626506024,16.81153716823919
TUNED,fomc_wed,0.02,4500,664,81.92771084337349,106.0,20.81808681927705,47.74096385542169,17.05578197241975
TUNED,fomc_all,0.02,4498,664,73.3433734939759,113.0,18.73206201204816,47.74096385542169,13.73872620461966
TUNED,am_all,0.02,4501,664,78.91566265060241,160.0,13.986989602409592,51.05421686746988,11.037925529612389
TUNED,all_all,0.02,4498,664,78.91566265060241,163.0,13.250676771084347,58.734939759036145,10.456859379590659
ORIGINAL,none,0.02,5192,664,79.21686746987952,98.0,25.306611481927604,44.27710843373494,20.047104878755903
ORIGINAL,real,0.02,5174,664,78.91566265060241,97.5,25.08499546987948,44.27710843373494,19.79599040092899
ORIGINAL,fomc_wed,0.02,5192,664,80.42168674698796,96.0,25.833896686746886,44.27710843373494,20.776055467956084
ORIGINAL,fomc_all,0.02,5192,664,80.57228915662651,99.0,22.620956192771025,44.27710843373494,18.226222233633283
ORIGINAL,am_all,0.02,5111,664,87.65060240963855,115.0,22.973961204819375,0.0,20.13681539338084
ORIGINAL,all_all,0.02,5111,664,86.59638554216868,133.0,15.671364626506175,29.668674698795183,13.570835331688329
