lots_per_10k,product,pass_pct,median_days,funded_cash_pct,funded_breach_pct,mean_payouts
0.02,FTMO 2-Step,79.21686746987952,98.0,25.306611481927604,44.27710843373494,16.521084337349397
0.02,FTMO 1-Step,82.37951807228916,60.0,23.59961318072279,49.54819277108434,9.67921686746988
0.03,FTMO 2-Step,79.36746987951807,64.0,36.93945607228907,57.98192771084337,19.302710843373493
0.03,FTMO 1-Step,77.10843373493977,46.0,25.921316837349195,65.36144578313254,9.227409638554217
0.04,FTMO 2-Step,72.28915662650603,53.5,35.597256795180456,74.3975903614458,16.623493975903614
0.04,FTMO 1-Step,64.30722891566265,34.0,22.354227156626255,84.48795180722891,7.162650602409639
