param,side,entry_time,exit_time,entry_price,exit_price,range_pct,exit_reason,price_pnl,pnl,swap,net,year,date
h00_r30_t1,1,1704156400000000000,1704157505000000000,2065.121,2067.884,0.13389783977666828,tp,2.76299999999992,5.38599999999984,0.0,5.38599999999984,2024,2024-01-02
h01_r60_t3,-1,1704161225000000000,1704165355000000000,2064.968,2069.9995,0.24345315915735408,sl,-5.031500000000051,-10.203000000000102,0.0,-10.203000000000102,2024,2024-01-02
h02_r15_t3,1,1704162400000000000,1704176495000000000,2066.942,2075.5369999999994,0.1387548291765703,tp,8.594999999999345,17.04999999999869,0.0,17.04999999999869,2024,2024-01-02
h04_r30_t3,-1,1704171365000000000,1704172365000000000,2069.0164999999997,2070.852,0.08869191386327037,sl,-1.8355000000001382,-3.8110000000002766,0.0,-3.8110000000002766,2024,2024-01-02
h05_r60_t2,1,1704175200000000000,1704195635000000000,2074.987,2069.5545,0.26187089824971377,sl,-5.432499999999891,-11.004999999999782,0.0,-11.004999999999782,2024,2024-01-02
h06_r60_t3,-1,1704182835000000000,1704188120000000000,2073.0215,2076.839,0.18403537142966483,sl,-3.817500000000109,-7.775000000000218,0.0,-7.775000000000218,2024,2024-01-02
h13_r30_t3,1,1704202280000000000,1704203540000000000,2068.8355,2064.9004999999997,0.19035640427154932,sl,-3.9350000000004,-8.010000000000801,0.0,-8.010000000000801,2024,2024-01-02
h14_r15_t2,-1,1704205280000000000,1704205585000000000,2064.9375,2067.364,0.11748508801214082,sl,-2.4265000000000327,-4.993000000000065,0.0,-4.993000000000065,2024,2024-01-02
h00_r30_t1,1,1704244440000000000,1704249740000000000,2062.2219999999998,2065.1169999999993,0.14038711929993272,tp,2.894999999999527,5.6499999999990544,0.0,5.6499999999990544,2024,2024-01-03
h01_r60_t3,1,1704247465000000000,1704270485000000000,2062.6549999999997,2059.543,0.1508864213614651,sl,-3.1119999999996253,-6.36399999999925,0.0,-6.36399999999925,2024,2024-01-03
h02_r15_t3,1,1704248100000000000,1704266135000000000,2064.113,2061.6965,0.1157413295137301,sl,-2.4164999999998145,-4.972999999999629,0.0,-4.972999999999629,2024,2024-01-03
h05_r60_t2,-1,1704262875000000000,1704273225000000000,2063.5525,2058.4924999999994,0.12256792891448658,tp,5.0600000000004,9.9800000000008,0.0,9.9800000000008,2024,2024-01-03
h06_r60_t3,-1,1704265395000000000,1704274295000000000,2063.468,2057.5355,0.09579054446812457,tp,5.932499999999891,11.724999999999781,0.0,11.724999999999781,2024,2024-01-03
h13_r30_t3,-1,1704289530000000000,1704294240000000000,2041.48,2048.0785,0.32300905316273554,sl,-6.598500000000058,-13.337000000000117,0.0,-13.337000000000117,2024,2024-01-03
h14_r15_t2,-1,1704291430000000000,1704294005000000000,2036.466,2042.394,0.29095692335631723,sl,-5.928000000000111,-11.996000000000222,0.0,-11.996000000000222,2024,2024-01-03
h00_r30_t1,-1,1704328910000000000,1704331140000000000,2042.224,2043.2875,0.05024396344353681,sl,-1.0634999999999764,-2.266999999999953,0.0,-2.266999999999953,2024,2024-01-04
h01_r60_t3,1,1704333685000000000,1704375600000000000,2043.387,2040.1444999999999,0.15876730955390247,sl,-3.2425000000000637,-6.625000000000127,0.0,-6.625000000000127,2024,2024-01-04
h02_r15_t3,1,1704334600000000000,1704360925000000000,2044.1955,2049.8595000000005,0.09236878727561967,tp,5.664000000000442,11.188000000000883,0.0,11.188000000000883,2024,2024-01-04
h04_r30_t3,-1,1704344480000000000,1704348220000000000,2042.4679999999998,2044.7820000000002,0.1132487312129118,sl,-2.3140000000003056,-4.768000000000611,0.0,-4.768000000000611,2024,2024-01-04
h05_r60_t2,1,1704348055000000000,1704349570000000000,2044.374,2048.299,0.09601863911375474,tp,3.9249999999999545,7.709999999999909,0.0,7.709999999999909,2024,2024-01-04
h06_r60_t3,1,1704353330000000000,1704370055000000000,2048.69,2043.671,0.24515173251059286,sl,-5.0190000000000055,-10.178000000000011,0.0,-10.178000000000011,2024,2024-01-04
h13_r30_t3,-1,1704375000000000000,1704382200000000000,2042.518,2047.3055,0.23410156951960445,sl,-4.787499999999909,-9.714999999999819,0.0,-9.714999999999819,2024,2024-01-04
h14_r15_t2,1,1704377710000000000,1704379565000000000,2040.6934999999999,2037.411,0.16087184946020572,sl,-3.2824999999998,-6.7049999999995995,0.0,-6.7049999999995995,2024,2024-01-04
h01_r60_t3,-1,1704431210000000000,1704461405000000000,2044.095,2031.2924999999996,0.20855345272642548,tp,12.802500000000464,25.465000000000927,0.0,25.465000000000927,2024,2024-01-05
h02_r15_t3,1,1704421410000000000,1704424200000000000,2047.5035,2045.74,0.08616458633058921,sl,-1.7635000000000218,-3.667000000000044,0.0,-3.667000000000044,2024,2024-01-05
h04_r30_t3,-1,1704430800000000000,1704439110000000000,2044.5375,2046.4765,0.0947632665518696,sl,-1.9390000000000782,-4.018000000000156,0.0,-4.018000000000156,2024,2024-01-05
h05_r60_t2,-1,1704435840000000000,1704438820000000000,2043.1970000000001,2045.35,0.10530421693743705,sl,-2.1529999999997926,-4.445999999999585,0.0,-4.445999999999585,2024,2024-01-05
h06_r60_t3,1,1704438815000000000,1704448260000000000,2045.1599999999999,2040.9485,0.20619132096837642,sl,-4.211499999999887,-8.562999999999775,0.0,-8.562999999999775,2024,2024-01-05
h13_r30_t3,-1,1704461400000000000,1704461405000000000,2039.344,2031.9429999999998,0.12096674346200242,tp,7.401000000000295,14.662000000000589,0.0,14.662000000000589,2024,2024-01-05
h14_r15_t2,1,1704464855000000000,1704467415000000000,2046.324,2061.351,0.36833635847777946,tp,15.027000000000044,29.914000000000087,0.0,29.914000000000087,2024,2024-01-05
h00_r30_t1,1,1704674005000000000,1704678100000000000,2046.067,2043.807,0.10963350004826405,sl,-2.259999999999991,-4.6599999999999815,0.0,-4.6599999999999815,2024,2024-01-08
h01_r60_t3,-1,1704679285000000000,1704692075000000000,2042.8905,2031.4919999999997,0.18589934280827536,tp,11.39850000000024,22.65700000000048,0.0,22.65700000000048,2024,2024-01-08
h02_r15_t3,-1,1704682445000000000,1704685990000000000,2041.7635,2035.3375000000005,0.10484337735661188,tp,6.425999999999476,12.711999999998952,0.0,12.711999999998952,2024,2024-01-08
h04_r30_t3,-1,1704689905000000000,1704692265000000000,2035.6925,2029.8410000000003,0.09575304207978848,tp,5.85149999999976,11.56299999999952,0.0,11.56299999999952,2024,2024-01-08
h05_r60_t2,-1,1704705580000000000,1704729660000000000,2027.0435,2036.1905000000002,0.45041906404721554,sl,-9.147000000000162,-18.434000000000324,0.0,-18.434000000000324,2024,2024-01-08
h06_r60_t3,-1,1704698485000000000,1704712710000000000,2030.421,2021.6100000000004,0.1444654887589125,tp,8.810999999999694,17.48199999999939,0.0,17.48199999999939,2024,2024-01-08
h13_r30_t3,-1,1704721045000000000,1704725865000000000,2020.4325,2025.549,0.2530227727913403,sl,-5.116500000000087,-10.373000000000175,0.0,-10.373000000000175,2024,2024-01-08
h14_r15_t2,-1,1704723600000000000,1704724485000000000,2018.9434999999999,2021.9715,0.14985106447209653,sl,-3.0280000000002474,-6.1960000000004944,0.0,-6.1960000000004944,2024,2024-01-08
h00_r30_t1,1,1704761655000000000,1704778920000000000,2035.016,2030.7115,0.21092275015732986,sl,-4.304500000000189,-8.749000000000379,0.0,-8.749000000000379,2024,2024-01-09
